i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.02928,-0.0366,0.04392,0.02928,0.01464,0.00732,0.12688,0.45872,0.49288,0.1708,0.10248,0.0732
0.02928,-0.04148,0.05368,0.03904,0.0244,0.00244,0.13664,0.45384,0.50264,0.18056,0.10736,0.08296
0.02928,-0.04636,0.06344,0.0488,0.03416,-0.00244,0.14152,0.44896,0.50264,0.18544,0.11712,0.09272
0.02928,-0.0488,0.06832,0.05368,0.03904,-0.00488,0.13664,0.43432,0.488,0.19032,0.11712,0.10248
0.02928,-0.05124,0.0732,0.05856,0.04392,-0.00732,0.122,0.41968,0.46848,0.1952,0.122,0.11712
0.04392,-0.06588,0.08784,0.06588,0.04392,0,0.11224,0.40016,0.4392,0.1952,0.12688,0.11712
0.04392,-0.06588,0.08784,0.06588,0.04392,0,0.09272,0.37088,0.40504,0.19032,0.13176,0.11224
0.03904,-0.06344,0.08784,0.06832,0.0488,-0.00488,0.07808,0.34648,0.366,0.18544,0.13664,0.11712
0.02928,-0.05856,0.08784,0.0732,0.05856,-0.01464,0.06344,0.30744,0.32696,0.17568,0.13664,0.11712
0.02928,-0.061,0.09272,0.07808,0.06344,-0.01708,0.0488,0.2684,0.27816,0.16104,0.12688,0.11712
0.0244,-0.05856,0.09272,0.08052,0.06832,-0.02196,0.03416,0.2196,0.23424,0.14152,0.11712,0.11224
0.01952,-0.04636,0.0732,0.06344,0.05368,-0.01708,0.0244,0.1708,0.18056,0.11224,0.0976,0.0976
0.01464,-0.03904,0.06344,0.05612,0.0488,-0.01708,0.01952,0.13176,0.13664,0.08784,0.07808,0.08784
0.00488,-0.02684,0.0488,0.04636,0.04392,-0.01952,0.01464,0.0976,0.10248,0.06832,0.05856,0.06832
0,-0.01708,0.03416,0.03416,0.03416,-0.01708,0.00488,0.06344,0.06832,0.0488,0.03904,0.0488
-0.01464,-0.00244,0.01952,0.02684,0.03416,-0.0244,0.00488,0.03416,0.03416,0.01952,0.0244,0.03416
-0.01464,0.00244,0.00976,0.01708,0.0244,-0.01952,0.00488,0.00976,0.00976,0.00488,0.00976,0.0244
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.00488,-0.00976,-0.00976,-0.01464,-0.00976,0.00976
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0,-0.02928,-0.03416,-0.02928,-0.01952,0
-0.03416,0.0244,-0.01464,0.00244,0.01952,-0.02684,0,-0.04392,-0.0488,-0.03904,-0.02928,-0.01464
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0,-0.05368,-0.06832,-0.04392,-0.04392,-0.01464
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0,-0.06832,-0.07808,-0.05368,-0.0488,-0.0244
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,0,-0.07808,-0.09272,-0.06344,-0.05856,-0.02928
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0,-0.08296,-0.10736,-0.0732,-0.06344,-0.03416
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,0,-0.09272,-0.10736,-0.0732,-0.06344,-0.03416
