i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.62952,-0.20008,-0.22936,-0.54412,-0.85888,0.7442,-1.03944,-1.23464,-1.586,-1.33712,-0.61976,0.49288
0.59048,-0.16592,-0.25864,-0.55388,-0.84912,0.7198,-0.93208,-1.098,-1.42984,-1.22488,-0.61,0.44408
0.56608,-0.14884,-0.2684,-0.55144,-0.83448,0.70028,-0.82472,-0.96136,-1.28344,-1.11752,-0.60512,0.37088
0.55632,-0.15616,-0.244,-0.52216,-0.80032,0.67832,-0.72224,-0.854,-1.13704,-1.01504,-0.5856,0.31232
0.49776,-0.15128,-0.1952,-0.44408,-0.69296,0.59536,-0.61,-0.74176,-0.99064,-0.9028,-0.55144,0.25864
0.40504,-0.12688,-0.15128,-0.3538,-0.55632,0.48068,-0.50264,-0.62952,-0.83448,-0.77104,-0.49776,0.2196
0.29768,-0.10004,-0.0976,-0.24644,-0.39528,0.34648,-0.40016,-0.51728,-0.69296,-0.64904,-0.4392,0.19032
0.18056,-0.05124,-0.07808,-0.16836,-0.25864,0.2196,-0.29768,-0.3904,-0.54656,-0.5124,-0.36112,0.16104
0.12688,-0.0244,-0.07808,-0.14152,-0.20496,0.16592,-0.20008,-0.28792,-0.42456,-0.40016,-0.31232,0.122
0.10248,-0.01464,-0.0732,-0.12444,-0.17568,0.13908,-0.12688,-0.1952,-0.31232,-0.30256,-0.25864,0.07808
0.11224,-0.02196,-0.06832,-0.12444,-0.18056,0.1464,-0.06344,-0.122,-0.20984,-0.22448,-0.2196,0.03416
0.0976,-0.0244,-0.0488,-0.0976,-0.1464,0.122,-0.01952,-0.0732,-0.12688,-0.1464,-0.1708,-0.01464
0.0488,-0.00244,-0.04392,-0.06832,-0.09272,0.07076,0.01952,-0.00976,-0.03904,-0.06832,-0.13176,-0.0488
0,0.02196,-0.04392,-0.04392,-0.04392,0.02196,0.05856,0.03904,0.0244,-0.00488,-0.08784,-0.06344
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.08296,0.08784,0.09272,0.06344,-0.03904,-0.05856
-0.0488,0.01464,0.01952,0.04392,0.06832,-0.05856,0.10248,0.12688,0.15128,0.11224,0.00488,-0.04392
-0.02928,-0.01952,0.06832,0.08296,0.0976,-0.06344,0.13664,0.15616,0.1952,0.1464,0.0488,-0.01464
-0.01464,-0.04636,0.10736,0.11468,0.122,-0.06832,0.1708,0.19032,0.22448,0.18056,0.08296,0.00976
-0.01952,-0.04636,0.11224,0.122,0.13176,-0.07564,0.18544,0.1952,0.244,0.20008,0.0976,0.01464
-0.0244,-0.04392,0.11224,0.12444,0.13664,-0.08052,0.20496,0.20008,0.25376,0.20984,0.10736,0.01464
-0.02928,-0.0366,0.10248,0.11712,0.13176,-0.08052,0.20496,0.20984,0.25376,0.21472,0.11224,0.00976
