i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.00488,-0.00732,0.01952,0.02196,0.0244,-0.01464,0.02928,0.07808,0.1952,0.10736,0.01464,0.0244
-0.00488,-0.00976,0.0244,0.02684,0.02928,-0.01708,0.0244,0.0732,0.20496,0.11712,0.01952,0.02928
-0.00488,-0.00976,0.0244,0.02684,0.02928,-0.01708,0.0244,0.06832,0.21472,0.13176,0.01952,0.03416
-0.00488,-0.0122,0.02928,0.03172,0.03416,-0.01952,0.01952,0.06832,0.22448,0.13664,0.0244,0.03904
-0.00488,-0.01464,0.03416,0.0366,0.03904,-0.02196,0.01952,0.0732,0.23912,0.1464,0.02928,0.04392
0,-0.01952,0.03904,0.03904,0.03904,-0.01952,0.01464,0.0732,0.24888,0.15616,0.03416,0.0488
0,-0.02196,0.04392,0.04392,0.04392,-0.02196,0.00976,0.0732,0.25864,0.16592,0.03904,0.0488
0,-0.0244,0.0488,0.0488,0.0488,-0.0244,0.00488,0.0732,0.2684,0.17568,0.03904,0.0488
0,-0.02684,0.05368,0.05368,0.05368,-0.02684,0.00488,0.07808,0.28792,0.18544,0.0488,0.0488
0,-0.02684,0.05368,0.05368,0.05368,-0.02684,0.00976,0.07808,0.30256,0.20008,0.05368,0.05856
0,-0.03172,0.06344,0.06344,0.06344,-0.03172,0.00976,0.08296,0.3172,0.20984,0.05856,0.06344
0.00488,-0.0366,0.06832,0.06588,0.06344,-0.02928,0.00488,0.08296,0.33672,0.22936,0.06832,0.06832
0.00488,-0.03904,0.0732,0.07076,0.06832,-0.03172,0.00488,0.09272,0.35624,0.244,0.0732,0.06832
0.00488,-0.04636,0.08784,0.0854,0.08296,-0.03904,0,0.09272,0.37088,0.25864,0.08784,0.0732
0.00488,-0.05124,0.0976,0.09516,0.09272,-0.04392,0,0.0976,0.39528,0.28304,0.10248,0.07808
0.00976,-0.05856,0.10736,0.10248,0.0976,-0.04392,0,0.10248,0.41968,0.31232,0.11224,0.08296
0.00976,-0.06344,0.11712,0.11224,0.10736,-0.0488,-0.00488,0.10736,0.44896,0.33672,0.12688,0.09272
0.00976,-0.06832,0.12688,0.122,0.11712,-0.05368,-0.00976,0.11224,0.48312,0.36112,0.14152,0.10248
0.01464,-0.08052,0.1464,0.13908,0.13176,-0.05856,-0.01464,0.11712,0.5124,0.39528,0.16104,0.10736
0.01952,-0.09028,0.16104,0.15128,0.14152,-0.061,-0.01952,0.12688,0.55144,0.43432,0.18056,0.122
0.01952,-0.10004,0.18056,0.1708,0.16104,-0.07076,-0.0244,0.13664,0.5856,0.46848,0.20008,0.13176
0.0244,-0.11224,0.20008,0.18788,0.17568,-0.07564,-0.0244,0.1464,0.61976,0.50264,0.22936,0.1464
0.02928,-0.12444,0.2196,0.20496,0.19032,-0.08052,-0.02928,0.15128,0.65392,0.55144,0.26352,0.16592
0.03416,-0.13176,0.22936,0.21228,0.1952,-0.08052,-0.03416,0.16104,0.69296,0.59048,0.2928,0.18056
0.03904,-0.14396,0.24888,0.22936,0.20984,-0.0854,-0.03904,0.16104,0.732,0.63928,0.32208,0.20496
0.03904,-0.15616,0.27328,0.25376,0.23424,-0.0976,-0.04392,0.1708,0.76128,0.68808,0.36112,0.2196
0.04392,-0.1708,0.29768,0.27572,0.25376,-0.10492,-0.05368,0.17568,0.79056,0.73688,0.39528,0.23912
0.0488,-0.18544,0.32208,0.29768,0.27328,-0.11224,-0.05856,0.18056,0.81496,0.7808,0.42456,0.26352
0.05368,-0.20008,0.34648,0.31964,0.2928,-0.11956,-0.0732,0.18056,0.83936,0.81496,0.45384,0.28304
0.05856,-0.20984,0.36112,0.33184,0.30256,-0.122,-0.08296,0.17568,0.854,0.84424,0.47824,0.30256
0.05856,-0.2196,0.38064,0.35136,0.32208,-0.13176,-0.08784,0.17568,0.86376,0.86864,0.50752,0.32208
0.05856,-0.22692,0.39528,0.366,0.33672,-0.13908,-0.09272,0.17568,0.8784,0.88328,0.52704,0.33672
0.05856,-0.23424,0.40992,0.38064,0.35136,-0.1464,-0.10248,0.1708,0.8784,0.89304,0.54168,0.35136
0.06344,-0.244,0.42456,0.39284,0.36112,-0.14884,-0.11224,0.1708,0.88328,0.9028,0.55144,0.35136
0.06344,-0.24644,0.42944,0.39772,0.366,-0.15128,-0.11224,0.16592,0.86376,0.9028,0.5612,0.35624
0.06344,-0.24644,0.42944,0.39772,0.366,-0.15128,-0.122,0.1464,0.8296,0.89304,0.56608,0.35624
0.06344,-0.24644,0.42944,0.39772,0.366,-0.15128,-0.12688,0.13176,0.78568,0.85888,0.5612,0.35624
0.05856,-0.24156,0.42456,0.39528,0.366,-0.15372,-0.12688,0.11712,0.72712,0.79544,0.52704,0.34648
0.0488,-0.22204,0.39528,0.37088,0.34648,-0.14884,-0.122,0.10248,0.66856,0.72712,0.48312,0.32208
0.04392,-0.19764,0.35136,0.3294,0.30744,-0.13176,-0.11712,0.08784,0.60024,0.65392,0.42944,0.28792
0.03416,-0.1708,0.30744,0.29036,0.27328,-0.11956,-0.11224,0.0732,0.53192,0.5856,0.37576,0.25376
0.0244,-0.1464,0.2684,0.2562,0.244,-0.1098,-0.09272,0.06344,0.4636,0.50752,0.32208,0.22448
0.01464,-0.11956,0.22448,0.21716,0.20984,-0.0976,-0.07808,0.0488,0.40016,0.43432,0.2684,0.19032
0.00488,-0.09272,0.18056,0.17812,0.17568,-0.0854,-0.06832,0.03904,0.33184,0.37088,0.21472,0.15616
0,-0.07076,0.14152,0.14152,0.14152,-0.07076,-0.05856,0.02928,0.27328,0.31232,0.1708,0.13176
0,-0.05612,0.11224,0.11224,0.11224,-0.05612,-0.0488,0.01952,0.22448,0.24888,0.13664,0.11224
-0.00488,-0.0366,0.07808,0.08052,0.08296,-0.04392,-0.03904,0.00976,0.18544,0.1952,0.09272,0.09272
-0.00976,-0.01952,0.0488,0.05368,0.05856,-0.03416,-0.02928,0.00488,0.15128,0.16592,0.06832,0.0732
-0.01464,-0.00244,0.01952,0.02684,0.03416,-0.0244,-0.01952,0,0.11712,0.14152,0.04392,0.05368
-0.01952,0.0122,-0.00488,0.00488,0.01464,-0.01708,-0.01464,0,0.10248,0.10248,0.02928,0.0488
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.01464,-0.00488,0.08784,0.08296,0.00976,0.03416
-0.01952,0.02928,-0.03904,-0.02928,-0.01952,0,-0.00976,-0.00488,0.0732,0.0732,0,0.03416
-0.0244,0.0366,-0.0488,-0.0366,-0.0244,0,-0.00488,-0.00488,0.06344,0.06832,0,0.02928
-0.0244,0.0366,-0.0488,-0.0366,-0.0244,0,0,-0.00976,0.05856,0.05856,-0.00976,0.02928
-0.0244,0.03904,-0.05368,-0.04148,-0.02928,0.00244,0,-0.00976,0.0488,0.0488,-0.01464,0.0244
-0.02928,0.04148,-0.05368,-0.03904,-0.0244,-0.00244,0,-0.00976,0.04392,0.03904,-0.01464,0.01464
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.00488,-0.00976,0.03904,0.03904,-0.0244,0.00976
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,0.00488,-0.00976,0.02928,0.03416,-0.0244,0.00976
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,0.00488,-0.00976,0.0244,0.02928,-0.0244,0.00976
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.00488,-0.00976,0.0244,0.02928,-0.02928,0.00976
-0.02928,0.05124,-0.0732,-0.05856,-0.04392,0.00732,0.00488,-0.00976,0.0244,0.02928,-0.02928,0.00488
-0.02928,0.05124,-0.0732,-0.05856,-0.04392,0.00732,0.00488,-0.00976,0.01952,0.02928,-0.02928,0.00488
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.00488,-0.00976,0.01952,0.02928,-0.02928,0.00488
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.00488,-0.00976,0.01952,0.03416,-0.02928,0.00976
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.00488,-0.00976,0.01952,0.03416,-0.02928,0.00976
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.00488,-0.00976,0.01952,0.03416,-0.02928,0.00488
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.00488,-0.00488,0.01952,0.02928,-0.02928,0.00488
-0.0244,0.05124,-0.07808,-0.06588,-0.05368,0.01464,0.00488,0,0.01952,0.0244,-0.03416,0.00488
-0.0244,0.05124,-0.07808,-0.06588,-0.05368,0.01464,0.00976,0.00488,0.01952,0.01952,-0.03904,0.00488
-0.0244,0.05368,-0.08296,-0.07076,-0.05856,0.01708,0.00976,0.00488,0.01952,0.01952,-0.03416,0.00488
-0.0244,0.05368,-0.08296,-0.07076,-0.05856,0.01708,0.00976,0.00488,0.01952,0.01952,-0.03416,0.00488
-0.0244,0.05368,-0.08296,-0.07076,-0.05856,0.01708,0.00976,0.00488,0.0244,0.01952,-0.03416,0
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.00976,0.00488,0.0244,0.01952,-0.03416,0
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.00976,0.00488,0.0244,0.01464,-0.02928,0
