i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.13664,0.10736,-0.07808,-0.00976,0.05856,-0.0976,0.07808,0,0,-0.00976,0.00976,-0.06832
-0.10736,0.0854,-0.06344,-0.00976,0.04392,-0.07564,0.0976,0.05368,0.16104,0.23424,0.23424,0.06832
-0.01464,-0.00976,0.03416,0.04148,0.0488,-0.03172,0.03904,0.06344,0.39528,0.60024,0.5856,0.27816
0.18056,-0.18544,0.19032,0.10004,0.00976,0.0854,-0.19032,-0.0488,0.62952,1.07848,1.02968,0.60024
0.42944,-0.37332,0.3172,0.10248,-0.11224,0.27084,-0.47336,-0.1952,0.81984,1.57136,1.52256,0.95648
0.64416,-0.5246,0.40504,0.08296,-0.23912,0.44164,-0.74664,-0.20008,0.96624,1.87392,1.82512,1.20048
0.75152,-0.61244,0.47336,0.0976,-0.27816,0.51484,-0.87352,-0.30256,0.80032,1.708,1.72264,1.19072
0.80032,-0.61244,0.42456,0.0244,-0.37576,0.58804,-0.91744,-0.39528,0.46848,1.25904,1.342,1.01016
0.69296,-0.46116,0.22936,-0.11712,-0.4636,0.57828,-0.83936,-0.47824,0.0732,0.62464,0.7564,0.65392
0.4636,-0.26108,0.05856,-0.17324,-0.40504,0.43432,-0.62952,-0.53192,-0.2684,0.04392,0.20984,0.2928
0.20496,-0.10736,0.00976,-0.09272,-0.1952,0.20008,-0.43432,-0.58072,-0.48312,-0.2928,-0.0976,0.08296
0.08784,-0.03172,-0.0244,-0.06832,-0.11224,0.10004,-0.27816,-0.47824,-0.4392,-0.28792,-0.10736,0.01464
0.01464,0.01708,-0.0488,-0.05612,-0.06344,0.03904,-0.17568,-0.33184,-0.3172,-0.23912,-0.11224,-0.05856
-0.0244,0.04392,-0.06344,-0.05124,-0.03904,0.00732,-0.08296,-0.1708,-0.18056,-0.1464,-0.08784,-0.06832
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,-0.00976,-0.06832,-0.08296,-0.08296,-0.0488,-0.06832
-0.07808,0.08296,-0.08784,-0.0488,-0.00976,-0.03416,-0.00976,-0.05368,-0.08296,-0.0976,-0.07808,-0.10736
-0.08784,0.08784,-0.08784,-0.04392,0,-0.04392,-0.01952,-0.05368,-0.10248,-0.13176,-0.10736,-0.15616
-0.11224,0.10736,-0.10248,-0.04636,0.00976,-0.061,0.01952,-0.03416,-0.07808,-0.12688,-0.10736,-0.1464
-0.14152,0.122,-0.10248,-0.03172,0.03904,-0.09028,0.04392,0.00488,-0.0488,-0.10248,-0.08784,-0.122
-0.12688,0.11712,-0.10736,-0.04392,0.01952,-0.0732,0.04392,-0.01464,-0.06832,-0.12688,-0.10736,-0.13664
-0.11712,0.1098,-0.10248,-0.04392,0.01464,-0.06588,0.04392,-0.01952,-0.08784,-0.13664,-0.12688,-0.1708
-0.14152,0.14152,-0.14152,-0.07076,0,-0.07076,0.0488,-0.00976,-0.06832,-0.13664,-0.11712,-0.15616
