i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.11712,0.05124,0.01464,0.0732,0.13176,-0.12444,-0.0976,-0.18056,-0.21472,-0.0488,-0.11224,-0.02928
-0.10736,0.05368,0,0.05368,0.10736,-0.10736,-0.01464,-0.09272,-0.18544,-0.04392,-0.122,-0.03416
-0.08296,0.03904,0.00488,0.04636,0.08784,-0.0854,0.01952,-0.03904,-0.15128,-0.00488,-0.10736,-0.05856
-0.09272,0.05856,-0.0244,0.02196,0.06832,-0.08052,0,-0.0244,-0.12688,-0.00488,-0.10736,-0.06344
-0.10248,0.06832,-0.03416,0.01708,0.06832,-0.0854,0.00488,-0.0244,-0.122,0,-0.11224,-0.06344
-0.10736,0.07076,-0.03416,0.01952,0.0732,-0.09028,0.03416,-0.00488,-0.10736,0,-0.11224,-0.06832
-0.10736,0.07564,-0.04392,0.00976,0.06344,-0.0854,0.06344,0.01464,-0.0976,0,-0.11224,-0.06832
-0.08784,0.061,-0.03416,0.00976,0.05368,-0.07076,0.0732,0.01952,-0.08296,0.01464,-0.10248,-0.06832
-0.07808,0.05612,-0.03416,0.00488,0.04392,-0.061,0.05368,0.01952,-0.08296,0.01464,-0.10248,-0.06344
-0.08296,0.05856,-0.03416,0.00732,0.0488,-0.06588,0.0488,0.00976,-0.08784,0.01952,-0.09272,-0.06344
-0.0976,0.07076,-0.04392,0.00488,0.05368,-0.07564,0.04392,0.01952,-0.08296,0.01952,-0.0976,-0.05856
-0.08784,0.07076,-0.05368,-0.00976,0.03416,-0.061,0.05368,0.01952,-0.08296,0.00976,-0.10248,-0.06832
-0.08296,0.06588,-0.0488,-0.00732,0.03416,-0.05856,0.0488,0.0244,-0.08296,0.01952,-0.09272,-0.06832
-0.09272,0.0732,-0.05368,-0.00732,0.03904,-0.06588,0.05368,0.0244,-0.07808,0.02928,-0.08784,-0.06344
-0.10248,0.08052,-0.05856,-0.00732,0.04392,-0.0732,0.06832,0.03416,-0.0732,0.02928,-0.08784,-0.05856
-0.08784,0.06588,-0.04392,0,0.04392,-0.06588,0.05368,0.03904,-0.05856,0.03416,-0.08296,-0.0488
-0.05368,0.03904,-0.0244,0.00244,0.02928,-0.04148,0.04392,0.03904,-0.05856,0.03904,-0.08296,-0.0488
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0.06344,0.04392,-0.0488,0.0488,-0.06832,-0.03904
-0.05368,0.03904,-0.0244,0.00244,0.02928,-0.04148,0.07808,0.06832,-0.03416,0.05856,-0.06344,-0.03416
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.08296,0.06832,-0.03904,0.05368,-0.06832,-0.04392
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.08784,0.07808,-0.03416,0.05368,-0.06832,-0.04392
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.07808,0.08784,-0.03904,0.05368,-0.06344,-0.0488
-0.04392,0.02684,-0.00976,0.0122,0.03416,-0.03904,0.08296,0.10736,-0.0244,0.06832,-0.05856,-0.03416
-0.04392,0.03172,-0.01952,0.00244,0.0244,-0.03416,0.08296,0.10248,-0.01952,0.0732,-0.05368,-0.03904
-0.04392,0.03172,-0.01952,0.00244,0.0244,-0.03416,0.08784,0.10736,-0.01952,0.07808,-0.0488,-0.03416
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,0.09272,0.11712,-0.00488,0.08784,-0.03904,-0.02928
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,0.10736,0.14152,0.00488,0.09272,-0.03904,-0.02928
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.11712,0.14152,0.00976,0.0976,-0.03416,-0.01952
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.11712,0.16104,0.01464,0.11224,-0.00976,-0.00488
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,0.11224,0.18056,0.01952,0.13176,0,0.00488
-0.00488,-0.00488,0.01464,0.01708,0.01952,-0.0122,0.11712,0.20008,0.03904,0.14152,-0.00976,-0.00488
-0.00488,-0.00244,0.00976,0.0122,0.01464,-0.00976,0.13664,0.21472,0.05368,0.1464,0,-0.00488
0.00976,-0.01952,0.02928,0.0244,0.01952,-0.00488,0.15128,0.23424,0.0732,0.15616,0.00488,0
0,-0.0122,0.0244,0.0244,0.0244,-0.0122,0.18056,0.26352,0.07808,0.16104,0.01952,0
0.00488,-0.01464,0.0244,0.02196,0.01952,-0.00732,0.1952,0.27816,0.08784,0.17568,0.02928,0.00488
0.01464,-0.01952,0.0244,0.01708,0.00976,0.00244,0.1952,0.3172,0.122,0.20496,0.03416,0.01952
0.01952,-0.0244,0.02928,0.01952,0.00976,0.00488,0.18056,0.3416,0.14152,0.2196,0.0488,0.01952
0.0488,-0.05368,0.05856,0.03416,0.00976,0.01952,0.18056,0.35624,0.15128,0.23424,0.06832,0.04392
0.07808,-0.09028,0.10248,0.06344,0.0244,0.02684,0.18544,0.366,0.17568,0.25376,0.08296,0.05368
0.09272,-0.1098,0.12688,0.08052,0.03416,0.02928,0.20984,0.3904,0.20984,0.28304,0.10248,0.06344
0.10736,-0.12932,0.15128,0.0976,0.04392,0.03172,0.22936,0.42456,0.23912,0.30256,0.11712,0.07808
0.11712,-0.1342,0.15128,0.09272,0.03416,0.04148,0.23424,0.4392,0.25376,0.3172,0.122,0.0732
0.13176,-0.14152,0.15128,0.0854,0.01952,0.05612,0.22936,0.45872,0.26352,0.3416,0.1464,0.08784
0.13664,-0.1464,0.15616,0.08784,0.01952,0.05856,0.23912,0.45872,0.28792,0.36112,0.16592,0.10248
0.13664,-0.14884,0.16104,0.09272,0.0244,0.05612,0.23424,0.45872,0.29768,0.37088,0.1708,0.0976
0.13664,-0.15372,0.1708,0.10248,0.03416,0.05124,0.22448,0.45872,0.30744,0.38064,0.19032,0.122
