i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.03904,0.05368,-0.06832,-0.0488,-0.02928,-0.00488,-0.02928,-0.10736,-0.06832,-0.0732,-0.04392,-0.01952
-0.04392,0.05612,-0.06832,-0.04636,-0.0244,-0.00976,-0.02928,-0.10736,-0.06832,-0.07808,-0.04392,-0.0244
-0.04392,0.05856,-0.0732,-0.05124,-0.02928,-0.00732,-0.02928,-0.10248,-0.06832,-0.07808,-0.04392,-0.0244
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,-0.02928,-0.0976,-0.06832,-0.07808,-0.04392,-0.0244
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,-0.0244,-0.09272,-0.06344,-0.07808,-0.04392,-0.0244
-0.05856,0.06832,-0.07808,-0.0488,-0.01952,-0.01952,-0.0244,-0.08784,-0.06344,-0.0732,-0.04392,-0.0244
-0.05856,0.06832,-0.07808,-0.0488,-0.01952,-0.01952,-0.01952,-0.08784,-0.06344,-0.0732,-0.04392,-0.0244
-0.05368,0.06588,-0.07808,-0.05124,-0.0244,-0.01464,-0.01952,-0.08784,-0.05856,-0.0732,-0.04392,-0.0244
-0.05368,0.06588,-0.07808,-0.05124,-0.0244,-0.01464,-0.01952,-0.08296,-0.05368,-0.0732,-0.04392,-0.0244
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,-0.01464,-0.08784,-0.05368,-0.0732,-0.04392,-0.0244
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,-0.01464,-0.09272,-0.0488,-0.0732,-0.04392,-0.0244
-0.05368,0.06832,-0.08296,-0.05612,-0.02928,-0.0122,-0.00976,-0.08296,-0.05368,-0.0732,-0.04392,-0.02928
-0.04392,0.07808,-0.11224,-0.09028,-0.06832,0.0122,0,-0.04392,-0.07808,-0.09272,-0.06832,-0.04392
-0.01464,0.0854,-0.15616,-0.14884,-0.14152,0.06344,0.01952,0.0244,-0.09272,-0.11712,-0.09272,-0.0732
0.00976,0.061,-0.13176,-0.13664,-0.14152,0.07564,0.03416,0.10248,-0.04392,-0.08296,-0.07808,-0.06344
0.08296,-0.01464,-0.05368,-0.09516,-0.13664,0.1098,0.03416,0.17568,0.04392,0.0244,0.00488,-0.01464
0.20496,-0.11224,0.01952,-0.08296,-0.18544,0.1952,0.03416,0.3416,0.17568,0.19032,0.15128,0.08784
0.35136,-0.244,0.13664,-0.03904,-0.21472,0.28304,0.01464,0.47336,0.33184,0.40992,0.37088,0.24888
0.488,-0.38308,0.27816,0.03416,-0.20984,0.34892,-0.02928,0.45872,0.4636,0.61976,0.59536,0.41968
0.64416,-0.56852,0.49288,0.1708,-0.15128,0.39772,-0.11712,0.36112,0.60512,0.83448,0.82472,0.60512
0.72712,-0.73444,0.74176,0.3782,0.01464,0.35624,-0.25376,0.07808,0.67832,0.97112,0.99552,0.76616
0.72224,-0.8174,0.91256,0.55144,0.19032,0.26596,-0.42456,-0.3416,0.61488,0.98576,1.06384,0.8784
0.53192,-0.7076,0.88328,0.61732,0.35136,0.09028,-0.49776,-0.72224,0.4392,0.82472,0.95648,0.83936
0.12688,-0.366,0.60512,0.54168,0.47824,-0.17568,-0.37088,-0.92232,0.07808,0.31232,0.47824,0.5368
-0.2196,-0.09272,0.40504,0.51484,0.62464,-0.42212,-0.33184,-1.20048,-0.27328,-0.17568,0.0244,0.24888
-0.3416,0.10492,0.13176,0.30256,0.47336,-0.40748,-0.34648,-1.2444,-0.60024,-0.5612,-0.31232,0.00976
-0.30256,0.16836,-0.03416,0.11712,0.2684,-0.28548,-0.42456,-1.05408,-0.68808,-0.65392,-0.38552,-0.08784
-0.20496,0.12932,-0.05368,0.0488,0.15128,-0.17812,-0.48312,-0.88328,-0.67344,-0.62952,-0.35136,-0.08296
-0.13664,0.09028,-0.04392,0.0244,0.09272,-0.11468,-0.39528,-0.6344,-0.5612,-0.51728,-0.28304,-0.0732
-0.09272,0.0488,-0.00488,0.04148,0.08784,-0.09028,-0.24888,-0.38552,-0.35624,-0.3416,-0.18056,-0.03416
-0.07808,0.04636,-0.01464,0.0244,0.06344,-0.07076,-0.13664,-0.24888,-0.23912,-0.244,-0.13664,-0.03416
-0.0732,0.0854,-0.0976,-0.061,-0.0244,-0.0244,-0.05856,-0.13176,-0.1952,-0.20984,-0.13176,-0.06344
-0.05368,0.08784,-0.122,-0.09516,-0.06832,0.00732,-0.0244,-0.04392,-0.16104,-0.1708,-0.11224,-0.06344
-0.0488,0.0854,-0.122,-0.0976,-0.0732,0.0122,0.01952,0.01464,-0.10248,-0.11712,-0.08784,-0.05368
-0.03904,0.07076,-0.10248,-0.08296,-0.06344,0.0122,0.03416,0.01952,-0.06344,-0.07808,-0.05856,-0.02928
-0.03904,0.06344,-0.08784,-0.06832,-0.0488,0.00488,0.03416,0.01952,-0.06344,-0.07808,-0.05368,-0.02928
-0.03904,0.06344,-0.08784,-0.06832,-0.0488,0.00488,0.02928,0.01952,-0.06344,-0.07808,-0.05368,-0.03416
-0.04392,0.06832,-0.09272,-0.07076,-0.0488,0.00244,0.0244,0.02928,-0.05856,-0.07808,-0.05368,-0.03904
-0.04392,0.06832,-0.09272,-0.07076,-0.0488,0.00244,0.03416,0.03904,-0.04392,-0.06832,-0.0488,-0.03904
-0.03904,0.06588,-0.09272,-0.0732,-0.05368,0.00732,0.03904,0.04392,-0.03416,-0.05368,-0.04392,-0.03416
-0.03416,0.06344,-0.09272,-0.07564,-0.05856,0.0122,0.03904,0.05368,-0.03416,-0.04392,-0.03904,-0.03416
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.03904,0.05856,-0.0244,-0.03904,-0.03904,-0.03904
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.04392,0.06344,-0.01464,-0.03416,-0.03416,-0.04392
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.0488,0.06832,-0.00976,-0.02928,-0.03416,-0.03904
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.05368,0.07808,-0.00976,-0.02928,-0.02928,-0.03904
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.05856,0.08296,-0.00976,-0.0244,-0.02928,-0.03904
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.05856,0.08784,-0.00488,-0.0244,-0.02928,-0.03904
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.05368,0.08784,0,-0.0244,-0.0244,-0.03904
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.0488,0.08784,0,-0.01952,-0.0244,-0.03416
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.05368,0.08784,0.00488,-0.01952,-0.0244,-0.03416
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.05368,0.08784,0.00488,-0.01464,-0.0244,-0.03904
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.05368,0.09272,0.00488,-0.01464,-0.0244,-0.03904
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.05856,0.0976,0.00976,-0.01464,-0.0244,-0.03904
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.05856,0.0976,0.00976,-0.00976,-0.02928,-0.03904
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.05856,0.10248,0.00976,-0.00976,-0.03416,-0.03904
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.05856,0.11224,0.01464,-0.00488,-0.03416,-0.03904
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.05856,0.122,0.01464,-0.00488,-0.03416,-0.03904
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.05856,0.12688,0.00976,-0.00488,-0.03416,-0.03904
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.05856,0.13176,0.00488,-0.00488,-0.02928,-0.03904
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.06344,0.13664,0.01464,-0.00488,-0.02928,-0.03904
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.06832,0.13664,0.01464,-0.00488,-0.02928,-0.03904
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.06832,0.14152,0.01464,0,-0.02928,-0.04392
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.06832,0.15128,0.01952,0.00488,-0.02928,-0.04392
-0.0244,0.05856,-0.09272,-0.08052,-0.06832,0.02196,0.0732,0.16592,0.01952,0.00488,-0.0244,-0.04392
-0.01952,0.05612,-0.09272,-0.08296,-0.0732,0.02684,0.07808,0.18056,0.01952,0.00488,-0.01952,-0.03904
-0.01952,0.05612,-0.09272,-0.08296,-0.0732,0.02684,0.07808,0.19032,0.02928,0.00976,-0.01952,-0.03904
-0.01952,0.05612,-0.09272,-0.08296,-0.0732,0.02684,0.07808,0.1952,0.03904,0.00976,-0.01464,-0.03904
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,0.07808,0.20496,0.03904,0.00976,-0.01952,-0.03904
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,0.08296,0.2196,0.03904,0.01464,-0.0244,-0.03904
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,0.09272,0.22936,0.04392,0.01952,-0.01952,-0.03904
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,0.09272,0.244,0.04392,0.0244,-0.01952,-0.03416
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,0.0976,0.2684,0.05368,0.02928,-0.01952,-0.03416
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,0.10248,0.27328,0.05856,0.03416,-0.01952,-0.03416
-0.00976,0.0488,-0.08784,-0.08296,-0.07808,0.03416,0.10736,0.29768,0.06344,0.03416,-0.01952,-0.03416
-0.00976,0.0488,-0.08784,-0.08296,-0.07808,0.03416,0.11224,0.32208,0.06832,0.03904,-0.01464,-0.03416
-0.00976,0.0488,-0.08784,-0.08296,-0.07808,0.03416,0.11224,0.3416,0.08296,0.04392,-0.01464,-0.03904
-0.00976,0.0488,-0.08784,-0.08296,-0.07808,0.03416,0.11712,0.35624,0.09272,0.0488,-0.00976,-0.04392
-0.00488,0.04636,-0.08784,-0.0854,-0.08296,0.03904,0.12688,0.366,0.10248,0.05368,-0.00976,-0.04392
0,0.04392,-0.08784,-0.08784,-0.08784,0.04392,0.13664,0.38064,0.10248,0.05856,-0.00976,-0.04392
0,0.03904,-0.07808,-0.07808,-0.07808,0.03904,0.14152,0.39528,0.10736,0.06344,-0.00976,-0.0488
-0.00488,0.03904,-0.0732,-0.07076,-0.06832,0.03172,0.1464,0.40504,0.11712,0.06344,-0.00976,-0.0488
-0.00488,0.0366,-0.06832,-0.06588,-0.06344,0.02928,0.1464,0.4148,0.122,0.06832,-0.00976,-0.0488
-0.00976,0.03904,-0.06832,-0.06344,-0.05856,0.0244,0.14152,0.42456,0.122,0.06832,-0.00976,-0.05368
-0.00976,0.0366,-0.06344,-0.05856,-0.05368,0.02196,0.14152,0.42456,0.12688,0.0732,-0.00976,-0.05368
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,0.1464,0.42456,0.12688,0.07808,-0.00488,-0.05368
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.15128,0.41968,0.12688,0.07808,-0.00976,-0.0488
-0.02928,0.04148,-0.05368,-0.03904,-0.0244,-0.00244,0.15128,0.40504,0.12688,0.0732,-0.00976,-0.04392
-0.03416,0.04148,-0.0488,-0.03172,-0.01464,-0.00976,0.1464,0.3904,0.12688,0.0732,-0.00976,-0.04392
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0.14152,0.37576,0.122,0.0732,-0.01464,-0.04392
