i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.00976,0,-0.00976,-0.01464,-0.01952,0.01464,0.05368,0.05368,-0.1708,-0.0488,-0.14152,-0.122
0.0244,-0.00244,-0.01952,-0.03172,-0.04392,0.03416,0.05856,0.05856,-0.15616,-0.05856,-0.14152,-0.12688
0,0.00976,-0.01952,-0.01952,-0.01952,0.00976,0.05368,0.06344,-0.15128,-0.05856,-0.15616,-0.14152
0.00488,0.00244,-0.00976,-0.0122,-0.01464,0.00976,0.05368,0.05856,-0.13664,-0.0732,-0.15128,-0.14152
0.01952,-0.00732,-0.00488,-0.01464,-0.0244,0.02196,0.0488,0.06344,-0.13176,-0.0732,-0.15128,-0.13664
0.01952,-0.00976,0,-0.00976,-0.01952,0.01952,0.05856,0.06344,-0.12688,-0.05856,-0.14152,-0.12688
0.00976,-0.00244,-0.00488,-0.00976,-0.01464,0.0122,0.05856,0.06344,-0.122,-0.05856,-0.13664,-0.12688
0.00976,0.00732,-0.0244,-0.02928,-0.03416,0.02196,0.05368,0.05856,-0.122,-0.05856,-0.1464,-0.14152
-0.00976,0.02196,-0.03416,-0.02928,-0.0244,0.00732,0.05368,0.05856,-0.11224,-0.0732,-0.15128,-0.13176
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.05368,0.06344,-0.11224,-0.06832,-0.16104,-0.1464
-0.01464,0.01464,-0.01464,-0.00732,0,-0.00732,0.05368,0.06832,-0.0976,-0.06344,-0.15616,-0.1464
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.05856,0.06344,-0.0976,-0.05856,-0.16104,-0.1464
-0.01952,0.0122,-0.00488,0.00488,0.01464,-0.01708,0.06832,0.06344,-0.08296,-0.05856,-0.15128,-0.15128
-0.01464,0.00732,0,0.00732,0.01464,-0.01464,0.0732,0.07808,-0.0732,-0.05368,-0.15616,-0.14152
0.00488,-0.00732,0.00976,0.00732,0.00488,0,0.09272,0.10248,-0.05856,-0.05368,-0.16104,-0.13176
0.01952,-0.02684,0.03416,0.0244,0.01464,0.00244,0.10248,0.11224,-0.04392,-0.03904,-0.1464,-0.13176
0.0488,-0.05368,0.05856,0.03416,0.00976,0.01952,0.10736,0.12688,-0.03416,-0.04392,-0.1464,-0.13664
0.04392,-0.05856,0.0732,0.05124,0.02928,0.00732,0.122,0.12688,-0.01952,-0.04392,-0.14152,-0.11224
0.0488,-0.06344,0.07808,0.05368,0.02928,0.00976,0.11712,0.122,-0.00976,-0.0488,-0.14152,-0.122
0.03904,-0.061,0.08296,0.06344,0.04392,-0.00244,0.11712,0.13664,0.00488,-0.04392,-0.14152,-0.122
0.0244,-0.05124,0.07808,0.06588,0.05368,-0.01464,0.13176,0.13664,0.01464,-0.04392,-0.14152,-0.11712
0.00488,-0.03904,0.0732,0.07076,0.06832,-0.03172,0.12688,0.11712,0.01952,-0.06344,-0.16592,-0.13664
-0.00488,-0.03172,0.06832,0.07076,0.0732,-0.03904,0.10736,0.10736,0.01464,-0.0732,-0.19032,-0.1464
-0.0244,-0.01952,0.06344,0.07564,0.08784,-0.05612,0.11224,0.10736,0.00488,-0.08784,-0.19032,-0.15616
-0.04392,0.00732,0.02928,0.05124,0.0732,-0.05856,0.11712,0.10248,0,-0.11224,-0.20008,-0.1708
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,0.11712,0.10248,0.00976,-0.122,-0.21472,-0.18056
-0.05856,0.01708,0.0244,0.05368,0.08296,-0.07076,0.11712,0.0976,-0.00488,-0.13176,-0.2196,-0.18544
-0.0732,0.01708,0.03904,0.07564,0.11224,-0.09272,0.11224,0.0976,-0.00488,-0.13176,-0.22936,-0.18056
-0.06344,0.00732,0.0488,0.08052,0.11224,-0.08784,0.11712,0.0976,-0.00488,-0.15616,-0.23912,-0.18056
-0.05368,-0.00488,0.06344,0.09028,0.11712,-0.0854,0.10736,0.0976,-0.00976,-0.16592,-0.244,-0.19032
-0.03904,-0.0244,0.08784,0.10736,0.12688,-0.08296,0.122,0.08296,-0.01952,-0.18056,-0.25376,-0.1952
-0.02928,-0.02684,0.08296,0.0976,0.11224,-0.07076,0.122,0.09272,-0.0244,-0.17568,-0.25376,-0.18544
-0.03904,-0.01952,0.07808,0.0976,0.11712,-0.07808,0.11224,0.08296,-0.02928,-0.18056,-0.2684,-0.20496
-0.00976,-0.04636,0.10248,0.10736,0.11224,-0.061,0.122,0.0732,-0.02928,-0.20008,-0.2684,-0.19032
0,-0.061,0.122,0.122,0.122,-0.061,0.13664,0.07808,-0.05856,-0.20984,-0.24888,-0.20496
0,-0.0488,0.0976,0.0976,0.0976,-0.0488,0.11712,0.05856,-0.07808,-0.21472,-0.27328,-0.20496
0,-0.03416,0.06832,0.06832,0.06832,-0.03416,0.10248,0.05856,-0.08296,-0.20984,-0.27816,-0.20496
0,-0.02928,0.05856,0.05856,0.05856,-0.02928,0.10248,0.05368,-0.08784,-0.18544,-0.24888,-0.18544
0,-0.0366,0.0732,0.0732,0.0732,-0.0366,0.11712,0.05368,-0.08296,-0.17568,-0.23424,-0.16592
0.01464,-0.04636,0.07808,0.07076,0.06344,-0.0244,0.09272,0.0488,-0.10736,-0.1708,-0.22936,-0.18056
0.02928,-0.05368,0.07808,0.06344,0.0488,-0.00976,0.09272,0.0488,-0.10248,-0.15616,-0.22936,-0.1708
0.00976,-0.03416,0.05856,0.05368,0.0488,-0.01952,0.0732,0.04392,-0.11712,-0.13664,-0.20984,-0.16104
0.01952,-0.03416,0.0488,0.03904,0.02928,-0.00488,0.05856,0.03416,-0.13664,-0.122,-0.20984,-0.1708
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.03904,0.01952,-0.16592,-0.13176,-0.20984,-0.18056
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0.0244,0.00976,-0.20008,-0.122,-0.2196,-0.18056
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,-0.00488,-0.01464,-0.2196,-0.11712,-0.2196,-0.1952
-0.08784,0.08052,-0.0732,-0.02928,0.01464,-0.05124,-0.00976,-0.0244,-0.22936,-0.12688,-0.2196,-0.19032
-0.05856,0.0488,-0.03904,-0.00976,0.01952,-0.03904,-0.00488,0,-0.2196,-0.10248,-0.18544,-0.16592
-0.04392,0.03904,-0.03416,-0.0122,0.00976,-0.02684,0,0.00976,-0.23912,-0.08296,-0.17568,-0.16592
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.00488,0.00488,-0.22936,-0.08296,-0.1708,-0.16104
-0.00488,0.00976,-0.01464,-0.0122,-0.00976,0.00244,0,0,-0.2196,-0.08296,-0.16592,-0.15616
0.00976,-0.00244,-0.00488,-0.00976,-0.01464,0.0122,0.01464,0.00976,-0.21472,-0.08296,-0.1708,-0.15128
0.01952,-0.00976,0,-0.00976,-0.01952,0.01952,0.01952,0.02928,-0.22448,-0.07808,-0.16592,-0.15616
0.00488,0.00244,-0.00976,-0.0122,-0.01464,0.00976,0.01464,0.0244,-0.22448,-0.07808,-0.15128,-0.1464
0.00976,0.00732,-0.0244,-0.02928,-0.03416,0.02196,0.00976,0.01952,-0.22448,-0.07808,-0.15128,-0.14152
-0.01952,0.04636,-0.0732,-0.06344,-0.05368,0.01708,0.01464,0.01952,-0.2196,-0.0732,-0.16104,-0.14152
-0.01952,0.05124,-0.08296,-0.0732,-0.06344,0.02196,0.01952,0.03416,-0.2196,-0.06832,-0.1708,-0.14152
0.00976,0.02196,-0.05368,-0.05856,-0.06344,0.0366,0.00976,0.03904,-0.2196,-0.06832,-0.16104,-0.14152
0.01952,0.00488,-0.02928,-0.03904,-0.0488,0.03416,0.00488,0.03904,-0.1952,-0.06344,-0.15616,-0.13176
0.01952,0.00488,-0.02928,-0.03904,-0.0488,0.03416,0.01952,0.03416,-0.19032,-0.06344,-0.15616,-0.15616
0.01464,0.0122,-0.03904,-0.04636,-0.05368,0.03416,0.01464,0.03904,-0.20008,-0.06344,-0.15616,-0.16104
-0.00976,0.02684,-0.04392,-0.03904,-0.03416,0.0122,0.00488,0.04392,-0.18544,-0.05856,-0.16104,-0.16104
0,0.01464,-0.02928,-0.02928,-0.02928,0.01464,0.00976,0.04392,-0.1708,-0.05856,-0.16592,-0.14152
0.03416,-0.00244,-0.02928,-0.04636,-0.06344,0.0488,0.02928,0.05856,-0.15616,-0.0488,-0.14152,-0.13176
0.03904,-0.00488,-0.02928,-0.0488,-0.06832,0.05368,0.0488,0.06832,-0.15128,-0.0488,-0.13664,-0.14152
0.04392,-0.01952,-0.00488,-0.02684,-0.0488,0.04636,0.06344,0.06832,-0.13664,-0.03416,-0.14152,-0.13176
0.05368,-0.02928,0.00488,-0.02196,-0.0488,0.05124,0.06344,0.06832,-0.13176,-0.03416,-0.13664,-0.122
0.03904,-0.0122,-0.01464,-0.03416,-0.05368,0.04636,0.0488,0.0732,-0.12688,-0.02928,-0.12688,-0.11712
0.02928,0,-0.02928,-0.04392,-0.05856,0.04392,0.0488,0.0732,-0.122,-0.03416,-0.12688,-0.11712
0,0.02928,-0.05856,-0.05856,-0.05856,0.02928,0.03904,0.06344,-0.1464,-0.05856,-0.15616,-0.13664
-0.01464,0.0488,-0.08296,-0.07564,-0.06832,0.02684,0.03904,0.05856,-0.14152,-0.06832,-0.17568,-0.16104
-0.00488,0.02928,-0.05368,-0.05124,-0.0488,0.02196,0.03904,0.05856,-0.13176,-0.05856,-0.16592,-0.15128
0.00488,0.0122,-0.02928,-0.03172,-0.03416,0.01952,0.04392,0.05368,-0.122,-0.05368,-0.15128,-0.1464
