i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.05368,-0.01708,-0.01952,-0.04636,-0.0732,0.06344,0.03416,0.1952,0.11712,-0.01952,-0.05856,-0.08784
0.06344,-0.02684,-0.00976,-0.04148,-0.0732,0.06832,0.02928,0.18056,0.122,-0.01464,-0.0488,-0.08784
0.06832,-0.03172,-0.00488,-0.03904,-0.0732,0.07076,0.01952,0.16592,0.122,-0.00488,-0.0488,-0.07808
0.0732,-0.04392,0.01464,-0.02196,-0.05856,0.06588,0.00976,0.18056,0.13664,0.01464,-0.02928,-0.06344
0.08296,-0.05612,0.02928,-0.0122,-0.05368,0.06832,0.00976,0.1952,0.1464,0.02928,-0.00976,-0.04392
0.09272,-0.06832,0.04392,-0.00244,-0.0488,0.07076,0.01464,0.1952,0.15616,0.03904,0,-0.02928
0.10736,-0.08296,0.05856,0.00488,-0.0488,0.07808,0.01464,0.20008,0.1708,0.05368,0.00976,-0.01952
0.11712,-0.09272,0.06832,0.00976,-0.0488,0.08296,0.00488,0.20008,0.18544,0.06344,0.01952,-0.00488
0.12688,-0.10004,0.0732,0.00976,-0.05368,0.09028,0,0.20008,0.19032,0.0732,0.02928,0.00976
0.13664,-0.11224,0.08784,0.01952,-0.0488,0.09272,-0.00488,0.20496,0.19032,0.09272,0.04392,0.01464
0.15128,-0.12444,0.0976,0.02196,-0.05368,0.10248,-0.01464,0.20496,0.1952,0.0976,0.05856,0.03416
0.15616,-0.1342,0.11224,0.03416,-0.04392,0.10004,-0.01952,0.20008,0.20008,0.11712,0.06832,0.04392
0.16104,-0.14152,0.122,0.04148,-0.03904,0.10004,-0.02928,0.1952,0.20008,0.13176,0.07808,0.05368
0.16104,-0.1464,0.13176,0.05124,-0.02928,0.09516,-0.02928,0.18544,0.20008,0.14152,0.08784,0.06344
0.15616,-0.14884,0.14152,0.06344,-0.01464,0.0854,-0.02928,0.18056,0.20008,0.15128,0.0976,0.07808
0.1708,-0.16104,0.15128,0.06588,-0.01952,0.09516,-0.03416,0.1708,0.20008,0.16104,0.10736,0.08784
0.1708,-0.16836,0.16592,0.08052,-0.00488,0.08784,-0.0488,0.16592,0.20008,0.16592,0.10736,0.0976
0.1708,-0.16836,0.16592,0.08052,-0.00488,0.08784,-0.0488,0.16104,0.1952,0.16104,0.11712,0.09272
0.16592,-0.16592,0.16592,0.08296,0,0.08296,-0.0488,0.1464,0.19032,0.15616,0.11712,0.09272
0.16592,-0.16592,0.16592,0.08296,0,0.08296,-0.0488,0.13664,0.19032,0.15616,0.11712,0.08784
0.16592,-0.16592,0.16592,0.08296,0,0.08296,-0.0488,0.12688,0.18544,0.15128,0.11224,0.08296
0.16104,-0.16348,0.16592,0.0854,0.00488,0.07808,-0.05368,0.11712,0.16592,0.13664,0.10248,0.07808
0.15616,-0.1586,0.16104,0.08296,0.00488,0.07564,-0.05368,0.11224,0.15616,0.11712,0.09272,0.06344
0.1464,-0.14884,0.15128,0.07808,0.00488,0.07076,-0.0488,0.10248,0.15128,0.11712,0.08296,0.05368
0.13176,-0.13664,0.14152,0.07564,0.00976,0.061,-0.03416,0.0976,0.13664,0.0976,0.0732,0.04392
