i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.10248,-0.05856,0.01464,-0.0366,-0.08784,0.09516,0.11712,0.59536,0.62952,0.43432,0.27328,0.17568
0.21472,-0.18788,0.16104,0.05368,-0.05368,0.1342,-0.01464,0.5856,0.7564,0.82472,0.62952,0.46848
0.3904,-0.43432,0.47824,0.28304,0.08784,0.15128,-0.22448,0.3172,0.8052,1.3664,1.11752,0.80032
0.61,-0.6832,0.7564,0.4514,0.1464,0.2318,-0.61976,-0.14152,0.84912,2.06912,1.7324,1.23952
0.62464,-0.84912,1.0736,0.76128,0.44896,0.08784,-0.94672,-0.69784,0.79056,2.54736,2.11792,1.51768
0.61488,-0.84424,1.0736,0.76616,0.45872,0.07808,-1.02968,-0.94184,0.82472,2.84016,2.21064,1.54696
0.5612,-0.69296,0.82472,0.54412,0.26352,0.14884,-0.97112,-0.98088,0.78568,2.684,1.94224,1.33224
0.366,-0.45872,0.55144,0.36844,0.18544,0.09028,-0.85888,-0.98088,0.62464,2.2204,1.54696,1.05408
0.1952,-0.15616,0.11712,0.01952,-0.07808,0.13664,-0.72224,-0.89304,0.40992,1.32248,0.81496,0.5856
0.03416,0.06832,-0.1708,-0.18788,-0.20496,0.11956,-0.5856,-0.77592,0.0732,0.40504,0.16592,0.25864
0.0732,0.06344,-0.20008,-0.23668,-0.27328,0.17324,-0.44408,-0.7564,-0.28304,0.03416,-0.02928,0.11224
-0.08784,0.20984,-0.33184,-0.28792,-0.244,0.07808,-0.2928,-0.6344,-0.50752,-0.15128,-0.04392,0.08296
0.02928,0.05124,-0.13176,-0.1464,-0.16104,0.09516,-0.21472,-0.44408,-0.32696,-0.00976,0.00488,0.08296
0.05368,0.03416,-0.122,-0.14884,-0.17568,0.11468,-0.13176,-0.2684,-0.0976,0.10736,0.06344,0.08296
-0.08296,0.06588,-0.0488,-0.00732,0.03416,-0.05856,-0.03416,-0.1464,0.03416,0.20984,0.15616,0.18056
-0.05368,0.0732,-0.09272,-0.06588,-0.03904,-0.00732,-0.03416,-0.13664,0.01952,0.16592,0.10736,0.11712
-0.0244,0.0366,-0.0488,-0.0366,-0.0244,0,-0.00976,-0.11224,0.02928,0.14152,0.07808,0.08296
0,0.02684,-0.05368,-0.05368,-0.05368,0.02684,0.0244,-0.08784,0.01464,0.11712,0.05368,0.06832
0,0.03172,-0.06344,-0.06344,-0.06344,0.03172,0.03904,-0.08296,0.02928,0.10248,0.0488,0.06344
-0.00488,0.03416,-0.06344,-0.061,-0.05856,0.02684,0.02928,-0.04392,0.02928,0.122,0.06832,0.07808
-0.01464,0.03904,-0.06344,-0.05612,-0.0488,0.01708,0.01952,-0.0244,0.03416,0.122,0.06344,0.07808
-0.01464,0.05612,-0.0976,-0.09028,-0.08296,0.03416,0.03904,-0.01952,0.04392,0.122,0.05856,0.06344
-0.00488,0.0366,-0.06832,-0.06588,-0.06344,0.02928,0.03904,-0.0244,0.05368,0.11712,0.06832,0.05368
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,0.04392,-0.01464,0.06832,0.13664,0.08784,0.0976
-0.00976,0.04392,-0.07808,-0.0732,-0.06832,0.02928,0.03416,-0.00488,0.06344,0.13664,0.08784,0.09272
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0.05368,-0.00488,0.08296,0.1464,0.08784,0.0976
-0.00976,0.0366,-0.06344,-0.05856,-0.05368,0.02196,0.05368,-0.01464,0.07808,0.13664,0.0976,0.0976
-0.00488,0.03416,-0.06344,-0.061,-0.05856,0.02684,0.02928,0.00976,0.05856,0.12688,0.08296,0.10248
0.01464,0.02196,-0.05856,-0.06588,-0.0732,0.04392,0.01464,0.01952,0.0488,0.122,0.06832,0.10736
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.03416,0.0244,0.06344,0.122,0.0732,0.09272
-0.01952,0.05612,-0.09272,-0.08296,-0.0732,0.02684,0.03416,0.01464,0.08296,0.12688,0.0732,0.09272
-0.00488,0.04636,-0.08784,-0.0854,-0.08296,0.03904,0.03904,0.00488,0.08784,0.13176,0.08784,0.10736
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.0488,0.03416,0.0976,0.15616,0.09272,0.11712
-0.00976,0.04636,-0.08296,-0.07808,-0.0732,0.03172,0.05368,0.05368,0.0976,0.15616,0.09272,0.10736
0.00976,0.02684,-0.06344,-0.06832,-0.0732,0.04148,0.0488,0.05856,0.10248,0.15128,0.08296,0.0976
0.0244,0.01708,-0.05856,-0.07076,-0.08296,0.05368,0.05368,0.0488,0.10736,0.15128,0.09272,0.0976
0.01464,0.00976,-0.03416,-0.04148,-0.0488,0.03172,0.04392,0.03904,0.11712,0.16104,0.08784,0.08784
0.0244,0.0244,-0.0732,-0.0854,-0.0976,0.061,0.03904,0.04392,0.12688,0.16592,0.08784,0.08296
0.00976,0.02196,-0.05368,-0.05856,-0.06344,0.0366,0.05368,0.04392,0.12688,0.15616,0.0976,0.0732
-0.00488,0.03172,-0.05856,-0.05612,-0.05368,0.0244,0.0732,0.05368,0.15128,0.16104,0.11224,0.08784
0.0244,0.00488,-0.03416,-0.04636,-0.05856,0.04148,0.05856,0.06832,0.15128,0.16592,0.122,0.09272
0.00976,0.01708,-0.04392,-0.0488,-0.05368,0.03172,0.06832,0.08296,0.16592,0.19032,0.13176,0.11224
0.00976,0.01708,-0.04392,-0.0488,-0.05368,0.03172,0.05856,0.10736,0.17568,0.1952,0.122,0.122
0.03416,0.00244,-0.03904,-0.05612,-0.0732,0.05368,0.05856,0.13176,0.17568,0.20496,0.14152,0.122
0.03904,-0.00488,-0.02928,-0.0488,-0.06832,0.05368,0.0488,0.14152,0.19032,0.1952,0.12688,0.11712
0.01952,0.00732,-0.03416,-0.04392,-0.05368,0.0366,0.04392,0.15128,0.20984,0.21472,0.13176,0.13664
0.03904,0.00732,-0.05368,-0.0732,-0.09272,0.06588,0.0488,0.15616,0.22936,0.20984,0.11712,0.122
0.0244,0.01708,-0.05856,-0.07076,-0.08296,0.05368,0.05368,0.16104,0.22936,0.20984,0.12688,0.13664
0.00976,0.00732,-0.0244,-0.02928,-0.03416,0.02196,0.05368,0.16592,0.25864,0.22936,0.13664,0.14152
0.03416,-0.01708,0,-0.01708,-0.03416,0.03416,0.05368,0.1952,0.26352,0.244,0.1464,0.14152
0.0244,-0.00732,-0.00976,-0.02196,-0.03416,0.02928,0.05856,0.20984,0.27816,0.2684,0.16104,0.16104
0.07808,-0.02928,-0.01952,-0.05856,-0.0976,0.08784,0.06344,0.22936,0.30744,0.2684,0.16592,0.18544
