i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.05856,-0.05368,0.0488,0.01952,-0.00976,0.03416,-0.06832,0.00488,0.01464,0.02928,0.04392,0.05856
0.0488,-0.04392,0.03904,0.01464,-0.00976,0.02928,-0.0732,-0.03416,0.00488,0.01952,0.03416,0.05368
0.05368,-0.0366,0.01952,-0.00732,-0.03416,0.04392,-0.03904,-0.05856,0,0.01464,0.03416,0.05368
0.03416,-0.03172,0.02928,0.0122,-0.00488,0.01952,-0.0488,-0.04392,0.00488,0.01464,0.0244,0.02928
0.01464,-0.01464,0.01464,0.00732,0,0.00732,-0.09272,-0.05368,0.00488,-0.00488,0.00976,0.02928
0.0244,-0.00976,-0.00488,-0.01708,-0.02928,0.02684,-0.10736,-0.03904,-0.01464,-0.01464,0,0.02928
0.04392,-0.0122,-0.01952,-0.04148,-0.06344,0.05368,-0.10248,-0.03904,-0.02928,-0.01952,0,0.02928
0.01464,0.01708,-0.0488,-0.05612,-0.06344,0.03904,-0.05856,-0.06344,-0.03904,-0.03416,-0.01952,0
0,0.02928,-0.05856,-0.05856,-0.05856,0.02928,0,-0.0732,-0.03904,-0.02928,-0.01464,-0.00488
0.01464,0.0244,-0.06344,-0.07076,-0.07808,0.04636,-0.01464,-0.0732,-0.03416,-0.03416,-0.01952,-0.0244
0.0244,0.01952,-0.06344,-0.07564,-0.08784,0.05612,-0.04392,-0.07808,-0.03904,-0.04392,-0.0244,-0.02928
0.03904,0.00976,-0.05856,-0.07808,-0.0976,0.06832,-0.02928,-0.05856,-0.03416,-0.01952,-0.00976,-0.02928
0.04392,0.00976,-0.06344,-0.0854,-0.10736,0.07564,-0.03416,-0.04392,-0.03416,-0.02928,-0.01952,-0.03416
0.02928,0.02196,-0.0732,-0.08784,-0.10248,0.06588,-0.06344,-0.04392,-0.05368,-0.04392,-0.03904,-0.01952
0.01952,0.02684,-0.0732,-0.08296,-0.09272,0.05612,-0.08784,-0.01952,-0.06832,-0.0732,-0.05856,-0.01952
0.01464,0.02928,-0.0732,-0.08052,-0.08784,0.05124,-0.06344,-0.03416,-0.06832,-0.06344,-0.03904,0.00488
0.01952,0.0244,-0.06832,-0.07808,-0.08784,0.05368,-0.0488,-0.02928,-0.05856,-0.0488,-0.02928,0.00976
0.03416,0.01464,-0.06344,-0.08052,-0.0976,0.06588,-0.02928,-0.04392,-0.0488,-0.04392,-0.01952,0.00488
0.03416,0.0244,-0.08296,-0.10004,-0.11712,0.07564,-0.03904,-0.06344,-0.03904,-0.03904,-0.01464,-0.00488
0.03904,0.00244,-0.04392,-0.06344,-0.08296,0.061,-0.04392,-0.0732,-0.03416,-0.0488,-0.03904,-0.03416
0.03904,0.01952,-0.07808,-0.0976,-0.11712,0.07808,-0.05368,-0.02928,-0.06344,-0.06344,-0.06344,-0.02928
0.03416,0.0244,-0.08296,-0.10004,-0.11712,0.07564,-0.07808,0.02928,-0.02928,-0.01952,0,0
0.0732,0.00976,-0.09272,-0.12932,-0.16592,0.11956,0.02928,0.21472,0.06832,0.06832,0.05368,0.0244
0.10248,0.01952,-0.14152,-0.19276,-0.244,0.17324,0.17568,0.3416,0.18056,0.11224,0.02928,-0.00488
0.06344,0.0732,-0.20984,-0.24156,-0.27328,0.16836,0.2684,0.58072,0.31232,0.2196,0.08296,-0.00488
0.07808,0.03172,-0.14152,-0.18056,-0.2196,0.14884,0.45872,0.76616,0.59536,0.44408,0.19032,0.00488
0.05368,0.02684,-0.10736,-0.1342,-0.16104,0.10736,0.4636,0.854,0.91744,0.71248,0.35624,0.11712
