i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.08296,0.0854,-0.08784,-0.04636,-0.00488,-0.03904,-0.0488,-0.05368,-0.15128,-0.18056,-0.16104,-0.10736
-0.07808,0.08296,-0.08784,-0.0488,-0.00976,-0.03416,-0.04392,-0.05368,-0.15128,-0.18056,-0.16104,-0.11224
-0.08784,0.09028,-0.09272,-0.0488,-0.00488,-0.04148,-0.03904,-0.0488,-0.1464,-0.1708,-0.15128,-0.10248
-0.08784,0.09028,-0.09272,-0.0488,-0.00488,-0.04148,-0.03904,-0.0488,-0.14152,-0.1708,-0.15128,-0.0976
-0.08784,0.09272,-0.0976,-0.05368,-0.00976,-0.03904,-0.03416,-0.03904,-0.14152,-0.17568,-0.15616,-0.10736
-0.08784,0.09028,-0.09272,-0.0488,-0.00488,-0.04148,-0.03416,-0.03904,-0.14152,-0.17568,-0.15128,-0.10736
-0.08784,0.09272,-0.0976,-0.05368,-0.00976,-0.03904,-0.0244,-0.0244,-0.13664,-0.16104,-0.15128,-0.10736
-0.07808,0.08784,-0.0976,-0.05856,-0.01952,-0.02928,-0.01952,-0.01952,-0.13176,-0.16104,-0.15128,-0.10248
-0.0732,0.08296,-0.09272,-0.05612,-0.01952,-0.02684,-0.01952,-0.01464,-0.12688,-0.15616,-0.1464,-0.09272
-0.0732,0.08052,-0.08784,-0.05124,-0.01464,-0.02928,-0.01464,-0.00976,-0.122,-0.15616,-0.1464,-0.09272
-0.06832,0.07564,-0.08296,-0.0488,-0.01464,-0.02684,-0.0244,-0.00488,-0.11712,-0.14152,-0.1464,-0.0976
-0.06832,0.07564,-0.08296,-0.0488,-0.01464,-0.02684,-0.0244,0,-0.11712,-0.13664,-0.13664,-0.0976
-0.06344,0.07076,-0.07808,-0.04636,-0.01464,-0.0244,-0.00976,0.01464,-0.0976,-0.14152,-0.12688,-0.09272
-0.06344,0.06832,-0.0732,-0.04148,-0.00976,-0.02684,-0.00976,0.01464,-0.09272,-0.13664,-0.122,-0.08784
-0.06344,0.0732,-0.08296,-0.05124,-0.01952,-0.02196,-0.01464,0.0244,-0.07808,-0.12688,-0.122,-0.07808
-0.05368,0.06832,-0.08296,-0.05612,-0.02928,-0.0122,-0.00976,0.03416,-0.08296,-0.12688,-0.122,-0.0732
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0,0.04392,-0.08296,-0.12688,-0.11224,-0.07808
-0.04392,0.061,-0.07808,-0.05612,-0.03416,-0.00488,0,0.05368,-0.0732,-0.12688,-0.10248,-0.07808
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0,0.06344,-0.05368,-0.11224,-0.0976,-0.07808
-0.0488,0.05368,-0.05856,-0.03416,-0.00976,-0.01952,0.00488,0.0732,-0.0488,-0.09272,-0.09272,-0.0732
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.01464,0.08784,-0.04392,-0.08296,-0.0976,-0.0732
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.00976,0.0976,-0.03904,-0.0732,-0.09272,-0.06832
-0.02928,0.03904,-0.0488,-0.03416,-0.01952,-0.00488,0.01952,0.122,-0.01952,-0.0732,-0.08784,-0.06344
-0.02928,0.0366,-0.04392,-0.02928,-0.01464,-0.00732,0.0244,0.13176,-0.01464,-0.05856,-0.0732,-0.05856
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.01952,0.15128,0.00976,-0.04392,-0.06344,-0.05368
-0.00976,0.01464,-0.01952,-0.01464,-0.00976,0,0.02928,0.1708,0.01952,-0.03904,-0.05368,-0.04392
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.03416,0.20008,0.04392,-0.03416,-0.0488,-0.03904
0.00488,0.00488,-0.01464,-0.01708,-0.01952,0.0122,0.03904,0.2196,0.06832,-0.01464,-0.03416,-0.03416
0.01464,-0.00244,-0.00976,-0.01708,-0.0244,0.01952,0.04392,0.244,0.08784,0.01464,-0.01952,-0.01952
0.01952,-0.0122,0.00488,-0.00488,-0.01464,0.01708,0.0488,0.27328,0.10736,0.03416,0.00488,-0.00488
0.03416,-0.0244,0.01464,-0.00244,-0.01952,0.02684,0.06832,0.2928,0.12688,0.0488,0,-0.00488
0.03904,-0.03172,0.0244,0.00488,-0.01464,0.02684,0.07808,0.32696,0.16104,0.0732,0.02928,0.00488
0.05368,-0.0488,0.04392,0.01708,-0.00976,0.03172,0.08784,0.366,0.18544,0.09272,0.04392,0.01464
0.05856,-0.05856,0.05856,0.02928,0,0.02928,0.0976,0.40016,0.2196,0.12688,0.05856,0.0244
0.08296,-0.07564,0.06832,0.02684,-0.01464,0.0488,0.0976,0.42944,0.244,0.15616,0.08784,0.0488
0.08784,-0.08296,0.07808,0.03416,-0.00976,0.0488,0.10248,0.45872,0.27816,0.17568,0.10736,0.06344
0.10736,-0.09516,0.08296,0.02928,-0.0244,0.06588,0.11712,0.48312,0.30744,0.21472,0.14152,0.09272
0.11712,-0.11224,0.10736,0.0488,-0.00976,0.06344,0.11712,0.5124,0.33184,0.23424,0.16592,0.10736
0.14152,-0.1342,0.12688,0.05612,-0.01464,0.07808,0.11712,0.5368,0.37088,0.2684,0.18544,0.11712
0.15616,-0.15128,0.1464,0.06832,-0.00976,0.08296,0.122,0.55632,0.40016,0.29768,0.20496,0.13176
0.1708,-0.16348,0.15616,0.07076,-0.01464,0.09272,0.12688,0.56608,0.40992,0.30744,0.22936,0.1464
0.19032,-0.183,0.17568,0.08052,-0.01464,0.10248,0.12688,0.57584,0.42456,0.33184,0.24888,0.16592
0.19032,-0.18788,0.18544,0.09028,-0.00488,0.0976,0.11224,0.58072,0.44408,0.35136,0.25864,0.1708
0.20008,-0.19764,0.1952,0.09516,-0.00488,0.10248,0.11224,0.58072,0.44896,0.35624,0.2684,0.18544
0.20984,-0.20496,0.20008,0.09516,-0.00976,0.1098,0.11224,0.5856,0.44408,0.366,0.27816,0.20008
0.21472,-0.21228,0.20984,0.10248,-0.00488,0.1098,0.10736,0.57584,0.44408,0.37088,0.28792,0.20008
0.23424,-0.22448,0.21472,0.0976,-0.01952,0.12688,0.09272,0.56608,0.4392,0.366,0.28792,0.20496
0.23424,-0.22448,0.21472,0.0976,-0.01952,0.12688,0.08296,0.53192,0.43432,0.36112,0.2928,0.20984
0.22448,-0.22448,0.22448,0.11224,0,0.11224,0.06344,0.49776,0.42456,0.36112,0.29768,0.20984
0.22448,-0.22204,0.2196,0.10736,-0.00488,0.11468,0.05368,0.4636,0.40016,0.34648,0.28792,0.20984
0.2196,-0.21472,0.20984,0.10004,-0.00976,0.11468,0.04392,0.41968,0.36112,0.32208,0.27328,0.20008
0.20496,-0.20252,0.20008,0.0976,-0.00488,0.10492,0.02928,0.37088,0.33184,0.2928,0.244,0.18544
0.19032,-0.18788,0.18544,0.09028,-0.00488,0.0976,0.01464,0.32208,0.29768,0.26352,0.22448,0.17568
0.17568,-0.1708,0.16592,0.07808,-0.00976,0.09272,0.00488,0.27328,0.25864,0.22936,0.20496,0.1464
0.15128,-0.14884,0.1464,0.07076,-0.00488,0.07808,-0.00976,0.23424,0.20008,0.19032,0.1708,0.11712
0.12688,-0.12688,0.12688,0.06344,0,0.06344,-0.01464,0.19032,0.16592,0.16104,0.14152,0.10248
0.0976,-0.09516,0.09272,0.04392,-0.00488,0.05124,-0.00976,0.13664,0.13664,0.11712,0.11224,0.08784
0.07808,-0.07808,0.07808,0.03904,0,0.03904,-0.01952,0.10248,0.0976,0.07808,0.08296,0.06344
0.06344,-0.06588,0.06832,0.0366,0.00488,0.02928,-0.0244,0.0732,0.0488,0.0488,0.05368,0.0488
0.03904,-0.04392,0.0488,0.02928,0.00976,0.01464,-0.0244,0.04392,0.01952,0.01952,0.0244,0.02928
0.01464,-0.01708,0.01952,0.0122,0.00488,0.00488,-0.0244,0.01464,0,-0.00976,-0.00488,0.00976
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.02928,-0.01464,-0.0244,-0.03904,-0.01952,-0.01464
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,-0.02928,-0.0244,-0.0488,-0.04392,-0.04392,-0.02928
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,-0.02928,-0.04392,-0.06344,-0.05856,-0.05368,-0.03416
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,-0.02928,-0.0488,-0.07808,-0.08296,-0.06344,-0.03904
-0.04392,0.0366,-0.02928,-0.00732,0.01464,-0.02928,-0.02928,-0.06832,-0.09272,-0.10248,-0.0732,-0.0488
-0.04392,0.03904,-0.03416,-0.0122,0.00976,-0.02684,-0.02928,-0.06832,-0.10248,-0.0976,-0.06832,-0.05368
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,-0.02928,-0.07808,-0.11224,-0.10248,-0.08296,-0.06344
-0.06344,0.05856,-0.05368,-0.02196,0.00976,-0.0366,-0.01952,-0.08784,-0.11712,-0.122,-0.09272,-0.06832
-0.06832,0.061,-0.05368,-0.01952,0.01464,-0.04148,-0.01952,-0.08784,-0.122,-0.12688,-0.10248,-0.08784
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,-0.01952,-0.09272,-0.122,-0.12688,-0.11224,-0.08784
-0.06344,0.061,-0.05856,-0.02684,0.00488,-0.03416,-0.0244,-0.0976,-0.12688,-0.12688,-0.11224,-0.07808
-0.06344,0.061,-0.05856,-0.02684,0.00488,-0.03416,-0.0244,-0.08296,-0.13176,-0.13176,-0.11224,-0.08784
-0.05856,0.05856,-0.05856,-0.02928,0,-0.02928,-0.0244,-0.09272,-0.13176,-0.13176,-0.11712,-0.08784
-0.06344,0.061,-0.05856,-0.02684,0.00488,-0.03416,-0.0244,-0.09272,-0.13176,-0.13664,-0.12688,-0.08784
-0.06344,0.061,-0.05856,-0.02684,0.00488,-0.03416,-0.01952,-0.09272,-0.13176,-0.13664,-0.13176,-0.08784
-0.06832,0.06344,-0.05856,-0.0244,0.00976,-0.03904,-0.01952,-0.09272,-0.12688,-0.13664,-0.122,-0.09272
-0.06832,0.06344,-0.05856,-0.0244,0.00976,-0.03904,-0.01952,-0.09272,-0.12688,-0.13176,-0.122,-0.09272
-0.07808,0.0732,-0.06832,-0.02928,0.00976,-0.04392,-0.00976,-0.09272,-0.122,-0.13176,-0.122,-0.09272
-0.0732,0.07076,-0.06832,-0.03172,0.00488,-0.03904,-0.00976,-0.08784,-0.12688,-0.13176,-0.12688,-0.09272
-0.06344,0.061,-0.05856,-0.02684,0.00488,-0.03416,-0.01952,-0.08296,-0.12688,-0.14152,-0.12688,-0.09272
-0.0732,0.06588,-0.05856,-0.02196,0.01464,-0.04392,-0.01464,-0.08296,-0.12688,-0.14152,-0.122,-0.09272
-0.0732,0.06832,-0.06344,-0.02684,0.00976,-0.04148,0,-0.08296,-0.122,-0.13664,-0.122,-0.09272
-0.0732,0.06832,-0.06344,-0.02684,0.00976,-0.04148,-0.00488,-0.07808,-0.122,-0.13176,-0.12688,-0.09272
-0.06344,0.06344,-0.06344,-0.03172,0,-0.03172,-0.00488,-0.0732,-0.122,-0.13176,-0.12688,-0.0976
-0.06832,0.06344,-0.05856,-0.0244,0.00976,-0.03904,-0.00488,-0.0732,-0.122,-0.12688,-0.122,-0.0976
-0.0732,0.06588,-0.05856,-0.02196,0.01464,-0.04392,-0.00488,-0.06832,-0.11712,-0.12688,-0.122,-0.0976
-0.0732,0.06588,-0.05856,-0.02196,0.01464,-0.04392,-0.00488,-0.06832,-0.11712,-0.12688,-0.12688,-0.0976
-0.0732,0.06588,-0.05856,-0.02196,0.01464,-0.04392,0,-0.05856,-0.0976,-0.12688,-0.12688,-0.09272
-0.07808,0.06832,-0.05856,-0.01952,0.01952,-0.0488,0.00488,-0.05368,-0.0976,-0.122,-0.122,-0.0976
-0.07808,0.06832,-0.05856,-0.01952,0.01952,-0.0488,0.01464,-0.05368,-0.10248,-0.122,-0.122,-0.0976
-0.07808,0.06832,-0.05856,-0.01952,0.01952,-0.0488,0.01464,-0.05368,-0.0976,-0.122,-0.122,-0.09272
-0.07808,0.06832,-0.05856,-0.01952,0.01952,-0.0488,0.01464,-0.05856,-0.10736,-0.13176,-0.122,-0.09272
-0.0732,0.06344,-0.05368,-0.01708,0.01952,-0.04636,0.01464,-0.05856,-0.10248,-0.12688,-0.11712,-0.09272
-0.0732,0.06344,-0.05368,-0.01708,0.01952,-0.04636,0.00488,-0.05856,-0.10248,-0.12688,-0.11712,-0.09272
-0.0732,0.06344,-0.05368,-0.01708,0.01952,-0.04636,0.00488,-0.05856,-0.0976,-0.12688,-0.11712,-0.09272
-0.06832,0.05856,-0.0488,-0.01464,0.01952,-0.04392,0.00488,-0.05856,-0.0976,-0.11712,-0.11712,-0.07808
-0.0732,0.061,-0.0488,-0.0122,0.0244,-0.0488,0.00488,-0.05368,-0.0976,-0.11224,-0.11224,-0.07808
-0.06832,0.05612,-0.04392,-0.00976,0.0244,-0.04636,-0.00488,-0.06344,-0.10736,-0.11224,-0.10248,-0.07808
-0.06344,0.05368,-0.04392,-0.0122,0.01952,-0.04148,-0.00488,-0.06344,-0.10248,-0.11224,-0.0976,-0.0732
-0.06832,0.05612,-0.04392,-0.00976,0.0244,-0.04636,-0.00488,-0.05856,-0.10248,-0.10736,-0.10736,-0.0732
-0.06832,0.05612,-0.04392,-0.00976,0.0244,-0.04636,-0.00488,-0.05856,-0.10248,-0.10736,-0.10736,-0.0732
-0.06344,0.05368,-0.04392,-0.0122,0.01952,-0.04148,-0.00488,-0.06832,-0.09272,-0.10736,-0.10248,-0.06832
-0.06344,0.05368,-0.04392,-0.0122,0.01952,-0.04148,-0.00488,-0.06832,-0.09272,-0.10736,-0.10248,-0.06832
-0.06344,0.05124,-0.03904,-0.00732,0.0244,-0.04392,-0.00976,-0.06344,-0.09272,-0.0976,-0.08784,-0.06832
-0.06344,0.05124,-0.03904,-0.00732,0.0244,-0.04392,-0.01464,-0.06832,-0.09272,-0.09272,-0.08784,-0.06344
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,-0.00488,-0.07808,-0.10248,-0.0976,-0.08784,-0.0732
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,-0.00488,-0.07808,-0.10248,-0.09272,-0.08784,-0.0732
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,-0.00976,-0.07808,-0.09272,-0.09272,-0.08784,-0.06344
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,-0.00976,-0.07808,-0.0976,-0.09272,-0.08784,-0.06344
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,-0.00976,-0.08296,-0.0976,-0.10248,-0.08784,-0.0732
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,-0.00976,-0.08296,-0.0976,-0.10736,-0.08784,-0.06832
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,0,-0.08296,-0.10248,-0.10736,-0.08784,-0.06832
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,0,-0.08784,-0.10248,-0.11224,-0.08784,-0.06832
-0.06344,0.05612,-0.0488,-0.01708,0.01464,-0.03904,-0.00976,-0.08296,-0.10736,-0.10248,-0.08784,-0.06344
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,-0.00976,-0.08296,-0.10736,-0.10248,-0.08784,-0.06344
-0.05856,0.05612,-0.05368,-0.0244,0.00488,-0.03172,-0.00976,-0.09272,-0.11224,-0.11224,-0.0976,-0.0732
-0.06344,0.061,-0.05856,-0.02684,0.00488,-0.03416,-0.00976,-0.09272,-0.11224,-0.11224,-0.0976,-0.0732
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,-0.00976,-0.0976,-0.12688,-0.11712,-0.10248,-0.0732
-0.05368,0.05856,-0.06344,-0.0366,-0.00976,-0.02196,-0.00976,-0.0976,-0.12688,-0.122,-0.10248,-0.0732
-0.06344,0.05612,-0.0488,-0.01708,0.01464,-0.03904,-0.00976,-0.0976,-0.13176,-0.122,-0.10736,-0.0732
-0.06832,0.05856,-0.0488,-0.01464,0.01952,-0.04392,-0.00488,-0.0976,-0.13176,-0.12688,-0.10736,-0.0732
