i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.0732,-0.10492,0.13664,0.10004,0.06344,0.00488,-0.0732,-0.10736,0.00488,0,0.04392,0.05368
0.06832,-0.0976,0.12688,0.09272,0.05856,0.00488,-0.06344,-0.0976,0.00488,0,0.03416,0.05368
0.06344,-0.0854,0.10736,0.07564,0.04392,0.00976,-0.05856,-0.09272,0.00488,0,0.02928,0.05368
0.06344,-0.08052,0.0976,0.06588,0.03416,0.01464,-0.05856,-0.08784,-0.00488,-0.00976,0.02928,0.05368
0.05856,-0.06588,0.0732,0.04392,0.01464,0.02196,-0.05856,-0.08784,-0.0244,-0.01464,0.01464,0.02928
0.0488,-0.05612,0.06344,0.03904,0.01464,0.01708,-0.05368,-0.0976,-0.03416,-0.02928,0.00488,0.0244
0.03904,-0.04636,0.05368,0.03416,0.01464,0.0122,-0.05856,-0.11224,-0.03904,-0.03416,-0.00488,0.01952
0.01952,-0.02928,0.03904,0.02928,0.01952,0,-0.04392,-0.11224,-0.03904,-0.03904,-0.01464,0.00976
0.01952,-0.02928,0.03904,0.02928,0.01952,0,-0.03416,-0.10248,-0.0488,-0.03904,-0.01952,0.00488
0.01952,-0.02684,0.03416,0.0244,0.01464,0.00244,-0.03416,-0.10248,-0.05368,-0.03904,-0.0244,0
0,-0.00244,0.00488,0.00488,0.00488,-0.00244,-0.0488,-0.11224,-0.06344,-0.05856,-0.02928,-0.01464
-0.00976,0.00244,0.00488,0.00976,0.01464,-0.0122,-0.05856,-0.122,-0.06832,-0.06832,-0.03904,-0.01952
0,-0.00488,0.00976,0.00976,0.00976,-0.00488,-0.05856,-0.11224,-0.05856,-0.05856,-0.03904,-0.00976
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,-0.05856,-0.10248,-0.05856,-0.05856,-0.03904,-0.00976
0.00488,-0.00732,0.00976,0.00732,0.00488,0,-0.02928,-0.10736,-0.05856,-0.0488,-0.02928,-0.00976
0.00488,-0.01464,0.0244,0.02196,0.01952,-0.00732,-0.01464,-0.10736,-0.0488,-0.0488,-0.02928,-0.01464
0.01464,-0.0244,0.03416,0.02684,0.01952,-0.00244,-0.00976,-0.10248,-0.0488,-0.05368,-0.03904,-0.00976
0.01464,-0.01952,0.0244,0.01708,0.00976,0.00244,-0.00488,-0.10248,-0.05368,-0.05368,-0.03904,-0.00976
0,-0.00488,0.00976,0.00976,0.00976,-0.00488,0,-0.10248,-0.06344,-0.06344,-0.03904,-0.00976
-0.00488,0,0.00488,0.00732,0.00976,-0.00732,-0.00488,-0.10736,-0.06344,-0.06344,-0.03904,-0.01464
-0.00488,0,0.00488,0.00732,0.00976,-0.00732,-0.0244,-0.0976,-0.06344,-0.06344,-0.03416,-0.01952
-0.00488,-0.00488,0.01464,0.01708,0.01952,-0.0122,-0.03416,-0.10248,-0.05856,-0.05368,-0.03416,-0.01952
-0.03416,0.0122,0.00976,0.02684,0.04392,-0.03904,-0.00976,-0.122,-0.03904,-0.06344,-0.0244,-0.01952
-0.06832,0.00732,0.05368,0.08784,0.122,-0.09516,0.00488,-0.13664,-0.01464,-0.03416,-0.01952,-0.00976
-0.08784,0.00732,0.0732,0.11712,0.16104,-0.12444,0.06832,-0.11712,0.01464,-0.0244,-0.01464,0.00488
-0.08784,-0.00244,0.09272,0.13664,0.18056,-0.1342,0.10736,-0.0732,0.05368,0.00976,0.00488,0.00976
-0.00488,-0.0732,0.15128,0.15372,0.15616,-0.08052,0.08784,0.00976,0.1708,0.15128,0.16104,0.122
0.12688,-0.14396,0.16104,0.0976,0.03416,0.04636,0.10248,0.13176,0.26352,0.31232,0.3172,0.24888
0.2928,-0.22936,0.16592,0.01952,-0.12688,0.20984,0.15128,0.27816,0.37088,0.45872,0.45384,0.366
0.4636,-0.3416,0.2196,-0.0122,-0.244,0.3538,0.20496,0.49776,0.60512,0.69784,0.66856,0.52216
0.65392,-0.49288,0.33184,0.00488,-0.32208,0.488,0.28792,0.69784,0.88328,0.99552,0.91256,0.69296
0.73688,-0.549,0.36112,-0.00732,-0.37576,0.55632,0.36112,0.84424,1.0492,1.15656,1.02968,0.77104
0.88328,-0.61488,0.34648,-0.09516,-0.5368,0.71004,0.3416,0.88816,1.0004,1.098,0.976,0.74664
0.9272,-0.5124,0.0976,-0.366,-0.8296,0.8784,0.24888,0.85888,0.63928,0.65392,0.52216,0.38552
0.70272,-0.33184,-0.03904,-0.3904,-0.74176,0.72224,0.01464,0.55632,0.4148,0.37576,0.22936,0.13176
0.38552,-0.0976,-0.19032,-0.38308,-0.57584,0.48068,-0.13176,0.17568,0.18056,0.12688,-0.0244,-0.07808
-0.00976,0.10248,-0.1952,-0.19032,-0.18544,0.08784,-0.13176,-0.244,-0.12688,-0.14152,-0.20984,-0.20008
-0.17568,0.15616,-0.13664,-0.0488,0.03904,-0.10736,-0.2196,-0.4392,-0.32696,-0.32208,-0.29768,-0.23912
-0.1952,0.14152,-0.08784,0.00976,0.10736,-0.15128,-0.25864,-0.45384,-0.47824,-0.42944,-0.3172,-0.21472
-0.1952,0.13176,-0.06832,0.02928,0.12688,-0.16104,-0.26352,-0.40016,-0.42456,-0.37088,-0.2684,-0.18544
-0.13176,0.07076,-0.00976,0.05612,0.122,-0.12688,-0.23424,-0.31232,-0.26352,-0.22936,-0.15128,-0.0976
-0.08784,0.0488,-0.00976,0.03416,0.07808,-0.08296,-0.0732,-0.1952,-0.13664,-0.11712,-0.08296,-0.0488
-0.03416,0.00244,0.02928,0.04636,0.06344,-0.0488,-0.01952,-0.11224,-0.03904,-0.04392,-0.02928,-0.01464
-0.0244,-0.0122,0.0488,0.061,0.0732,-0.0488,0.00488,-0.05368,-0.00976,-0.02928,-0.01952,-0.00488
-0.00976,-0.01952,0.0488,0.05368,0.05856,-0.03416,0.04392,-0.0488,-0.00976,-0.02928,-0.01464,0.00488
0.00488,-0.01952,0.03416,0.03172,0.02928,-0.0122,0.07808,-0.03904,-0.00488,-0.01464,0,0.01464
0.00488,-0.01952,0.03416,0.03172,0.02928,-0.0122,0.07808,-0.02928,-0.00488,-0.01952,0,0.00976
0.00488,-0.0122,0.01952,0.01708,0.01464,-0.00488,0.05368,-0.02928,-0.01464,-0.0244,-0.01464,0
0,-0.00976,0.01952,0.01952,0.01952,-0.00976,0.04392,-0.0244,-0.01464,-0.0244,-0.01464,0
-0.01464,-0.00488,0.0244,0.03172,0.03904,-0.02684,0.04392,-0.02928,-0.00488,-0.01952,-0.00976,0.00488
-0.00488,-0.00976,0.0244,0.02684,0.02928,-0.01708,0.05856,-0.02928,-0.00488,-0.01464,-0.00976,0.00976
-0.00976,-0.00976,0.02928,0.03416,0.03904,-0.0244,0.05368,-0.01952,0,-0.01464,-0.00976,0.00976
-0.00976,-0.00732,0.0244,0.02928,0.03416,-0.02196,0.05856,-0.01464,0,-0.01464,0,0.00488
0,-0.01708,0.03416,0.03416,0.03416,-0.01708,0.05856,-0.00976,0,-0.00488,0,0.00976
0.00488,-0.0244,0.04392,0.04148,0.03904,-0.01708,0.06832,0,0.00488,-0.00488,0,0.01464
0.01952,-0.03416,0.0488,0.03904,0.02928,-0.00488,0.0732,0,0.00976,-0.00488,0,0.01464
0.01952,-0.03172,0.04392,0.03416,0.0244,-0.00244,0.06344,-0.00488,0.00976,0,0,0.01464
0.0244,-0.02928,0.03416,0.02196,0.00976,0.00732,0.05856,0.00488,0.00488,0,0.00488,0.00976
0.01464,-0.02684,0.03904,0.03172,0.0244,-0.00488,0.06832,0.00976,0.00976,0.00976,0.00976,0.00976
0.01464,-0.0244,0.03416,0.02684,0.01952,-0.00244,0.0488,0.01952,0.01952,0.01464,0,0.01952
0.01464,-0.02196,0.02928,0.02196,0.01464,0,0.0488,0.01464,0.01952,0.01464,0.00488,0.01952
0.00976,-0.00976,0.00976,0.00488,0,0.00488,0.05368,0.00976,0.01464,0.01464,0.00976,0.01952
0.00488,-0.00732,0.00976,0.00732,0.00488,0,0.05368,0.00976,0.01952,0.01464,0.00976,0.0244
0.01464,-0.02196,0.02928,0.02196,0.01464,0,0.0732,0.0244,0.01952,0.01952,0.01464,0.0244
0.0244,-0.03172,0.03904,0.02684,0.01464,0.00488,0.0732,0.02928,0.0244,0.0244,0.01464,0.0244
0.04392,-0.0488,0.05368,0.03172,0.00976,0.01708,0.07808,0.03416,0.03416,0.0244,0.0244,0.0244
0.04392,-0.0488,0.05368,0.03172,0.00976,0.01708,0.08296,0.03904,0.03904,0.02928,0.0244,0.02928
0.0488,-0.04636,0.04392,0.01952,-0.00488,0.02684,0.07808,0.05368,0.03904,0.04392,0.0244,0.03416
0.06344,-0.061,0.05856,0.02684,-0.00488,0.03416,0.0732,0.05856,0.05368,0.0488,0.03904,0.03904
0.05856,-0.05368,0.0488,0.01952,-0.00976,0.03416,0.05856,0.06344,0.0488,0.03904,0.03904,0.04392
0.05368,-0.05124,0.0488,0.02196,-0.00488,0.02928,0.05368,0.05368,0.0488,0.04392,0.03904,0.04392
0.05856,-0.05612,0.05368,0.0244,-0.00488,0.03172,0.07808,0.05368,0.0488,0.0488,0.03904,0.03904
0.06832,-0.06344,0.05856,0.0244,-0.00976,0.03904,0.08296,0.06344,0.0488,0.05368,0.04392,0.03904
0.07808,-0.0732,0.06832,0.02928,-0.00976,0.04392,0.07808,0.0732,0.06344,0.06344,0.05368,0.0488
0.08784,-0.08296,0.07808,0.03416,-0.00976,0.0488,0.08296,0.10248,0.07808,0.06832,0.05856,0.0488
0.07808,-0.0732,0.06832,0.02928,-0.00976,0.04392,0.0732,0.10736,0.06832,0.05856,0.0488,0.03904
0.08296,-0.06832,0.05368,0.0122,-0.02928,0.05612,0.04392,0.10736,0.0732,0.06832,0.05368,0.04392
0.0976,-0.07564,0.05368,0.00488,-0.04392,0.07076,0.05368,0.11224,0.06832,0.07808,0.05856,0.0488
0.0976,-0.07808,0.05856,0.00976,-0.03904,0.06832,0.06832,0.122,0.08296,0.08296,0.06344,0.05368
0.10736,-0.0854,0.06344,0.00976,-0.04392,0.07564,0.06832,0.12688,0.08296,0.08296,0.06832,0.05856
0.12688,-0.0976,0.06832,0.00488,-0.05856,0.09272,0.06832,0.14152,0.08296,0.08784,0.06832,0.05856
0.14152,-0.11224,0.08296,0.0122,-0.05856,0.10004,0.07808,0.15128,0.08784,0.09272,0.08296,0.06832
0.1464,-0.11468,0.08296,0.00976,-0.06344,0.10492,0.08296,0.16592,0.08784,0.09272,0.08784,0.06832
0.1464,-0.1098,0.0732,0,-0.0732,0.1098,0.0732,0.17568,0.09272,0.10248,0.07808,0.06832
0.15128,-0.10736,0.06344,-0.0122,-0.08784,0.11956,0.05856,0.19032,0.09272,0.10248,0.08296,0.0732
0.1464,-0.10492,0.06344,-0.00976,-0.08296,0.11468,0.0488,0.19032,0.08296,0.10248,0.06832,0.06344
0.1464,-0.0976,0.0488,-0.0244,-0.0976,0.122,0.03416,0.19032,0.08296,0.10248,0.0732,0.06344
0.16104,-0.10736,0.05368,-0.02684,-0.10736,0.1342,0.03904,0.18056,0.08296,0.09272,0.07808,0.06832
0.17568,-0.11956,0.06344,-0.0244,-0.11224,0.14396,0.03416,0.18056,0.0732,0.09272,0.07808,0.06832
0.18056,-0.12444,0.06832,-0.02196,-0.11224,0.1464,0.03416,0.18056,0.07808,0.0976,0.07808,0.06832
0.18544,-0.12932,0.0732,-0.01952,-0.11224,0.14884,0.02928,0.17568,0.07808,0.10736,0.07808,0.0732
0.18056,-0.122,0.06344,-0.02684,-0.11712,0.14884,0.03416,0.16104,0.06344,0.0976,0.06344,0.05856
0.1708,-0.11712,0.06344,-0.02196,-0.10736,0.13908,0.02928,0.1464,0.06344,0.07808,0.06344,0.05856
0.1708,-0.11224,0.05368,-0.03172,-0.11712,0.14396,0.02928,0.13664,0.05368,0.08296,0.05856,0.05856
