i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.03904,-0.00488,0.0488,0.06832,0.08784,-0.06344,-0.06832,-0.01952,0.03904,0.20496,-0.08784,-0.0488
-0.03904,-0.00976,0.05856,0.07808,0.0976,-0.06832,-0.06832,-0.01952,0.02928,0.1952,-0.08784,-0.0488
-0.03904,-0.00976,0.05856,0.07808,0.0976,-0.06832,-0.06832,-0.01952,0.01952,0.1952,-0.08784,-0.0488
-0.02928,-0.00976,0.0488,0.06344,0.07808,-0.05368,-0.05856,-0.01952,0.00976,0.17568,-0.10736,-0.06832
-0.02928,-0.00488,0.03904,0.05368,0.06832,-0.0488,-0.05856,-0.01952,0,0.16592,-0.11712,-0.07808
-0.03904,0,0.03904,0.05856,0.07808,-0.05856,-0.06832,-0.03904,-0.00976,0.15616,-0.12688,-0.08784
-0.03904,0,0.03904,0.05856,0.07808,-0.05856,-0.06832,-0.0488,-0.00976,0.1464,-0.13664,-0.0976
-0.0488,0.00976,0.02928,0.05368,0.07808,-0.06344,-0.06832,-0.05856,-0.01952,0.13664,-0.1464,-0.10736
-0.0488,0.00976,0.02928,0.05368,0.07808,-0.06344,-0.06832,-0.06832,-0.02928,0.12688,-0.15616,-0.10736
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,-0.05856,-0.05856,-0.03904,0.11712,-0.16592,-0.11712
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.05856,-0.05856,-0.0488,0.10736,-0.16592,-0.12688
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,-0.0488,-0.03904,-0.03904,0.12688,-0.15616,-0.10736
-0.06832,0.05856,-0.0488,-0.01464,0.01952,-0.04392,-0.0488,-0.02928,-0.02928,0.13664,-0.1464,-0.0976
-0.07808,0.05856,-0.03904,0,0.03904,-0.05856,-0.05856,-0.03904,-0.03904,0.12688,-0.15616,-0.10736
-0.07808,0.05368,-0.02928,0.00976,0.0488,-0.06344,-0.05856,-0.03904,-0.0488,0.11712,-0.16592,-0.11712
-0.05856,0.0488,-0.03904,-0.00976,0.01952,-0.03904,-0.06832,-0.0488,-0.05856,0.10736,-0.17568,-0.12688
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,-0.06832,-0.05856,-0.05856,0.0976,-0.18544,-0.13664
-0.05856,0.03904,-0.01952,0.00976,0.03904,-0.0488,-0.05856,-0.0488,-0.03904,0.11712,-0.17568,-0.11712
-0.07808,0.03904,0,0.03904,0.07808,-0.07808,-0.0488,-0.03904,-0.02928,0.12688,-0.16592,-0.10736
-0.07808,0.04392,-0.00976,0.02928,0.06832,-0.0732,-0.03904,-0.02928,-0.01952,0.12688,-0.16592,-0.10736
-0.07808,0.0488,-0.01952,0.01952,0.05856,-0.06832,-0.02928,-0.01952,-0.01952,0.12688,-0.16592,-0.10736
-0.06832,0.03904,-0.00976,0.0244,0.05856,-0.06344,-0.02928,0,-0.00976,0.1464,-0.16592,-0.10736
-0.11712,0.05856,0,0.05856,0.11712,-0.11712,-0.01952,0,0.03904,0.17568,-0.1464,-0.08784
-0.08784,0.00976,0.06832,0.11224,0.15616,-0.122,0.00976,0.0488,0.07808,0.20496,-0.08784,-0.03904
-0.05856,-0.00488,0.06832,0.0976,0.12688,-0.09272,0.02928,0.05856,0.10736,0.244,-0.05856,0.01952
-0.00976,-0.03904,0.08784,0.09272,0.0976,-0.05368,0.01952,0.06832,0.1464,0.32208,0.03904,0.12688
0.03904,-0.08296,0.12688,0.10736,0.08784,-0.0244,0.00976,0.10736,0.20496,0.42944,0.18544,0.26352
0.15616,-0.1464,0.13664,0.05856,-0.01952,0.08784,-0.0488,0.06832,0.1952,0.45872,0.27328,0.36112
0.23424,-0.1708,0.10736,-0.00976,-0.12688,0.18056,-0.13664,-0.02928,0.0976,0.4392,0.36112,0.46848
0.28304,-0.15128,0.01952,-0.122,-0.26352,0.27328,-0.1952,-0.06832,0,0.37088,0.31232,0.41968
0.2928,-0.122,-0.0488,-0.1952,-0.3416,0.3172,-0.244,-0.1464,-0.0976,0.25376,0.1464,0.244
0.2928,-0.11712,-0.05856,-0.20496,-0.35136,0.32208,-0.25376,-0.1952,-0.13664,0.13664,-0.07808,-0.07808
0.26352,-0.07808,-0.10736,-0.23912,-0.37088,0.3172,-0.18544,-0.06832,-0.06832,0.10736,-0.28304,-0.38064
0.06832,0.11712,-0.30256,-0.33672,-0.37088,0.2196,-0.08784,0.00976,-0.06832,-0.00976,-0.54656,-0.6832
-0.01952,0.18056,-0.3416,-0.33184,-0.32208,0.15128,0.03904,0.10736,-0.01952,-0.07808,-0.70272,-0.83936
-0.12688,0.25376,-0.38064,-0.3172,-0.25376,0.06344,0.10736,0.1464,0,-0.0976,-0.76128,-0.90768
-0.18544,0.31232,-0.4392,-0.34648,-0.25376,0.03416,0.17568,0.244,0.13664,0.01952,-0.67344,-0.85888
-0.06832,0.19032,-0.31232,-0.27816,-0.244,0.08784,0.22448,0.45872,0.45872,0.37088,-0.38064,-0.61488
0,0.06344,-0.12688,-0.12688,-0.12688,0.06344,0.27328,0.5856,0.80032,0.67344,-0.11712,-0.38064
0.03904,0,-0.03904,-0.05856,-0.07808,0.05856,0.36112,0.70272,1.06384,0.88816,0.0488,-0.27328
-0.01952,-0.01464,0.0488,0.05856,0.06832,-0.04392,0.46848,0.83936,1.30784,1.05408,0.1464,-0.21472
-0.0976,0.00976,0.07808,0.12688,0.17568,-0.13664,0.56608,0.976,1.45424,1.15168,0.22448,-0.1464
-0.12688,-0.04392,0.21472,0.27816,0.3416,-0.23424,0.67344,1.09312,1.57136,1.18096,0.22448,-0.0976
-0.15616,-0.05368,0.26352,0.3416,0.41968,-0.28792,0.7808,1.20048,1.66896,1.19072,0.22448,-0.07808
-0.17568,-0.06344,0.30256,0.3904,0.47824,-0.32696,0.8784,1.28832,1.76656,1.22976,0.26352,-0.03904
-0.22448,-0.08296,0.3904,0.50264,0.61488,-0.41968,0.90768,1.30784,1.79584,1.22976,0.27328,0.00976
-0.26352,-0.06832,0.40016,0.53192,0.66368,-0.4636,0.94672,1.29808,1.78608,1.18096,0.244,0.00976
-0.27328,-0.05368,0.38064,0.51728,0.65392,-0.4636,0.94672,1.22976,1.708,1.10288,0.21472,0.01952
-0.25376,-0.0488,0.35136,0.47824,0.60512,-0.42944,0.86864,1.09312,1.55184,0.99552,0.18544,0.00976
-0.244,-0.06832,0.38064,0.50264,0.62464,-0.43432,0.74176,0.91744,1.39568,0.90768,0.15616,0.00976
-0.20496,-0.06832,0.3416,0.44408,0.54656,-0.37576,0.59536,0.74176,1.15168,0.76128,0.10736,0.00976
-0.13664,-0.08784,0.31232,0.38064,0.44896,-0.2928,0.4392,0.54656,0.86864,0.60512,0.06832,0.01952
-0.08784,-0.07808,0.244,0.28792,0.33184,-0.20984,0.28304,0.33184,0.55632,0.44896,0.02928,0
-0.11712,-0.01464,0.1464,0.20496,0.26352,-0.19032,0.13664,0.17568,0.25376,0.2928,-0.03904,-0.02928
-0.05856,-0.01952,0.0976,0.12688,0.15616,-0.10736,-0.01952,0,0.00976,0.1464,-0.10736,-0.05856
-0.02928,0,0.02928,0.04392,0.05856,-0.04392,-0.07808,-0.06832,-0.0976,0.08784,-0.11712,-0.06832
-0.00976,-0.00244,0.01464,0.01952,0.0244,-0.01708,-0.0976,-0.09272,-0.1464,0.0488,-0.13176,-0.0732
-0.00976,0.00244,0.00488,0.00976,0.01464,-0.0122,-0.11712,-0.10248,-0.16592,0.02928,-0.14152,-0.08296
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.14152,-0.122,-0.19032,0,-0.15616,-0.09272
-0.01952,0.02928,-0.03904,-0.02928,-0.01952,0,-0.15128,-0.13176,-0.2196,-0.01952,-0.17568,-0.10248
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,-0.1464,-0.1464,-0.244,-0.02928,-0.18056,-0.10248
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,-0.1464,-0.1464,-0.244,-0.02928,-0.1708,-0.09272
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,-0.15128,-0.15616,-0.24888,-0.03416,-0.16592,-0.08784
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,-0.16104,-0.15616,-0.25864,-0.04392,-0.16592,-0.08784
0.00488,0.02684,-0.05856,-0.061,-0.06344,0.03416,-0.15616,-0.14152,-0.25376,-0.04392,-0.15616,-0.08296
0.01464,0.02196,-0.05856,-0.06588,-0.0732,0.04392,-0.15616,-0.13176,-0.25376,-0.03416,-0.15616,-0.0732
0.01952,0.0244,-0.06832,-0.07808,-0.08784,0.05368,-0.1464,-0.12688,-0.26352,-0.03416,-0.16104,-0.07808
0.01952,0.03416,-0.08784,-0.0976,-0.10736,0.06344,-0.1464,-0.12688,-0.26352,-0.04392,-0.1708,-0.07808
0.0244,0.02928,-0.08296,-0.09516,-0.10736,0.06588,-0.15128,-0.13664,-0.27328,-0.03416,-0.1708,-0.06832
0.03416,0.01952,-0.0732,-0.09028,-0.10736,0.07076,-0.16104,-0.13664,-0.27328,-0.0244,-0.16104,-0.06832
0.0488,0.01464,-0.07808,-0.10248,-0.12688,0.08784,-0.18544,-0.1464,-0.28792,-0.03416,-0.1708,-0.0732
0.0488,0.01464,-0.07808,-0.10248,-0.12688,0.08784,-0.20496,-0.16592,-0.29768,-0.06344,-0.18056,-0.08296
0.0488,0.00976,-0.06832,-0.09272,-0.11712,0.08296,-0.20496,-0.18544,-0.2928,-0.06832,-0.1708,-0.0732
0.0488,0.00976,-0.06832,-0.09272,-0.11712,0.08296,-0.20496,-0.18544,-0.2928,-0.0488,-0.16104,-0.06344
0.0244,0.01952,-0.06344,-0.07564,-0.08784,0.05612,-0.1952,-0.1708,-0.28792,-0.01952,-0.13176,-0.03416
-0.00488,0.02928,-0.05368,-0.05124,-0.0488,0.02196,-0.17568,-0.16104,-0.27816,0,-0.10248,-0.00488
-0.00976,0.02928,-0.0488,-0.04392,-0.03904,0.01464,-0.17568,-0.16104,-0.28792,0,-0.09272,0
0.00976,0.01952,-0.0488,-0.05368,-0.05856,0.03416,-0.1952,-0.1708,-0.29768,-0.01952,-0.10248,0
0.01952,0.01952,-0.05856,-0.06832,-0.07808,0.0488,-0.21472,-0.18056,-0.30744,-0.03416,-0.10736,0.00976
0.01952,0.01952,-0.05856,-0.06832,-0.07808,0.0488,-0.21472,-0.19032,-0.3172,-0.04392,-0.10736,0.00976
0.03904,0.00732,-0.05368,-0.0732,-0.09272,0.06588,-0.22936,-0.20496,-0.33672,-0.05856,-0.10736,0.01952
0.05856,-0.00732,-0.04392,-0.0732,-0.10248,0.08052,-0.23912,-0.20496,-0.34648,-0.05856,-0.10736,0.01952
0.08296,-0.02684,-0.02928,-0.07076,-0.11224,0.0976,-0.25864,-0.21472,-0.36112,-0.06832,-0.11712,0.00976
