i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.05856,0.10004,-0.14152,-0.11224,-0.08296,0.0122,0.20984,-0.02928,-0.01464,-0.01464,-0.00488,0.10736
-0.03904,0.10492,-0.1708,-0.15128,-0.13176,0.04636,0.20984,-0.00976,-0.03416,-0.03416,-0.03416,0.08784
-0.01464,0.11468,-0.21472,-0.2074,-0.20008,0.09272,0.20984,0.01952,-0.0488,-0.05856,-0.06344,0.0488
0.00976,0.10248,-0.21472,-0.2196,-0.22448,0.11712,0.2196,0.08784,-0.0244,-0.05856,-0.06344,0.03416
0.04392,0.04148,-0.12688,-0.14884,-0.1708,0.10736,0.23424,0.18056,0.05856,0.01952,-0.00488,0.07808
0.0488,-0.0366,0.0244,0,-0.0244,0.0366,0.26352,0.2928,0.23912,0.19032,0.14152,0.1952
0.08784,-0.19032,0.2928,0.24888,0.20496,-0.05856,0.26352,0.40992,0.4636,0.46848,0.41968,0.4392
0.26352,-0.42456,0.5856,0.45384,0.32208,-0.02928,0.1464,0.50264,0.60024,0.7564,0.77104,0.74664
0.47336,-0.7076,0.94184,0.70516,0.46848,0.00244,-0.05368,0.49288,0.67832,1.02968,1.15168,1.098
0.60512,-0.96136,1.3176,1.01504,0.71248,-0.05368,-0.25864,0.36112,0.69296,1.24928,1.47376,1.42496
0.56608,-1.0736,1.58112,1.29808,1.01504,-0.22448,-0.3904,0.08296,0.62464,1.33712,1.65432,1.65432
0.38552,-1.00284,1.62016,1.4274,1.23464,-0.42456,-0.42944,-0.30744,0.41968,1.22488,1.62992,1.70312
0.15616,-0.72956,1.30296,1.22488,1.1468,-0.49532,-0.38552,-0.55632,0.0732,0.83936,1.24928,1.42008
0.00976,-0.36356,0.71736,0.71248,0.7076,-0.34892,-0.26352,-0.62952,-0.24888,0.27328,0.60024,0.8784
0,-0.11224,0.22448,0.22448,0.22448,-0.11224,-0.15616,-0.61488,-0.40504,-0.12688,0.122,0.45384
0.01464,0,-0.01464,-0.02196,-0.02928,0.02196,-0.08296,-0.55632,-0.4392,-0.244,-0.05856,0.23424
0.00976,0.05124,-0.11224,-0.11712,-0.122,0.06588,-0.0244,-0.38552,-0.38064,-0.20984,-0.06344,0.16592
-0.00976,0.0854,-0.16104,-0.15616,-0.15128,0.07076,0.0488,-0.20496,-0.27816,-0.17568,-0.07808,0.122
-0.03904,0.12932,-0.2196,-0.20008,-0.18056,0.07076,0.15128,-0.10736,-0.1464,-0.11712,-0.07808,0.08784
