i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.2684,-0.28548,0.30256,0.16836,0.03416,0.11712,-0.05856,0.28304,0.366,0.4392,0.45384,0.366
0.23912,-0.25132,0.26352,0.14396,0.0244,0.10736,-0.04392,0.24888,0.33184,0.40504,0.40504,0.32696
0.20984,-0.22448,0.23912,0.1342,0.02928,0.09028,-0.04392,0.22448,0.28304,0.35624,0.35624,0.28792
0.18056,-0.19764,0.21472,0.12444,0.03416,0.0732,-0.02928,0.1952,0.24888,0.31232,0.30744,0.23912
0.15128,-0.16836,0.18544,0.1098,0.03416,0.05856,-0.0244,0.15616,0.20496,0.26352,0.244,0.1952
0.122,-0.13664,0.15128,0.09028,0.02928,0.04636,-0.01952,0.13176,0.17568,0.21472,0.19032,0.15128
0.10248,-0.1098,0.11712,0.06588,0.01464,0.04392,-0.0244,0.10736,0.13664,0.18544,0.16104,0.122
0.07808,-0.0854,0.09272,0.05368,0.01464,0.03172,-0.00976,0.09272,0.11712,0.15128,0.12688,0.08784
0.0488,-0.07076,0.09272,0.06832,0.04392,0.00244,0,0.0732,0.08784,0.11712,0.07808,0.0488
0.03416,-0.04636,0.05856,0.04148,0.0244,0.00488,0,0.05368,0.06344,0.09272,0.04392,0.0244
0.01952,-0.02684,0.03416,0.0244,0.01464,0.00244,0.01952,0.05368,0.05368,0.0732,0.0244,0.00488
0.00976,-0.01464,0.01952,0.01464,0.00976,0,0.0244,0.04392,0.03904,0.0488,0.00976,-0.01464
-0.00976,-0.00244,0.01464,0.01952,0.0244,-0.01708,0.01952,0.01464,0.01464,0.0244,-0.00976,-0.03904
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.01464,0.01464,0.00488,0.00976,-0.0244,-0.0488
-0.03416,0.01952,-0.00488,0.0122,0.02928,-0.03172,0.00976,-0.00488,-0.01464,-0.00488,-0.05368,-0.06832
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.00976,-0.00976,-0.0244,-0.01464,-0.06832,-0.07808
-0.03416,0.0244,-0.01464,0.00244,0.01952,-0.02684,0.01952,-0.00488,-0.0244,-0.00976,-0.08296,-0.08296
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.01952,-0.00976,-0.02928,-0.01952,-0.07808,-0.07808
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.02928,-0.01464,-0.03416,-0.02928,-0.08784,-0.08784
-0.03416,0.03172,-0.02928,-0.0122,0.00488,-0.01952,0.03416,-0.01952,-0.03904,-0.03416,-0.08784,-0.08784
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.0244,-0.0244,-0.0488,-0.03904,-0.09272,-0.08784
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,0.01952,-0.0244,-0.0488,-0.03904,-0.0976,-0.09272
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.01952,-0.0244,-0.0488,-0.04392,-0.09272,-0.0976
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.01952,-0.02928,-0.0488,-0.04392,-0.09272,-0.0976
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.0244,-0.01952,-0.03904,-0.04392,-0.10248,-0.0976
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.01952,-0.01952,-0.03904,-0.04392,-0.10248,-0.0976
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.01952,-0.01952,-0.05368,-0.0488,-0.09272,-0.0976
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.01952,-0.01952,-0.05368,-0.0488,-0.0976,-0.10248
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.01952,-0.01952,-0.04392,-0.0488,-0.09272,-0.10248
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.0244,-0.01464,-0.03904,-0.04392,-0.08784,-0.0976
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.01464,-0.01464,-0.0488,-0.0488,-0.0976,-0.09272
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.01464,-0.01952,-0.0488,-0.0488,-0.10248,-0.09272
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.01952,-0.01952,-0.04392,-0.04392,-0.10248,-0.0976
