i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0488,0.00976,0.02928,0.05368,0.07808,-0.06344,-0.0488,-0.0976,-0.05368,-0.04392,-0.0244,-0.01952
-0.03904,0.00244,0.03416,0.05368,0.0732,-0.05612,-0.04392,-0.0976,-0.05856,-0.05368,-0.0244,-0.0244
-0.03416,0.0122,0.00976,0.02684,0.04392,-0.03904,-0.03416,-0.08296,-0.05856,-0.0488,-0.02928,-0.01464
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,-0.03416,-0.08296,-0.06344,-0.03904,-0.02928,-0.01464
-0.00488,-0.00732,0.01952,0.02196,0.0244,-0.01464,-0.0488,-0.08296,-0.0488,-0.03904,-0.01952,-0.00976
0.01464,-0.0244,0.03416,0.02684,0.01952,-0.00244,-0.0488,-0.0732,-0.03904,-0.02928,-0.01464,-0.00976
0.00488,-0.00976,0.01464,0.0122,0.00976,-0.00244,-0.03904,-0.06344,-0.01952,-0.0244,-0.00488,0.00976
0.00488,-0.00732,0.00976,0.00732,0.00488,0,-0.0244,-0.05368,-0.00976,-0.01464,0.00976,0.01464
-0.00488,-0.00244,0.00976,0.0122,0.01464,-0.00976,-0.01464,-0.04392,-0.01952,-0.01464,-0.00488,0
-0.01952,0,0.01952,0.02928,0.03904,-0.02928,0.00488,-0.03416,-0.02928,-0.01952,-0.00488,-0.00976
-0.02928,0.01464,0,0.01464,0.02928,-0.02928,0.00976,-0.0244,-0.00976,-0.01464,0,0
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.01952,-0.00488,-0.00976,-0.01464,0.00488,0
-0.02928,0.01464,0,0.01464,0.02928,-0.02928,0.01464,-0.00976,0,-0.00976,-0.00488,-0.00488
-0.03416,0.01952,-0.00488,0.0122,0.02928,-0.03172,0.01952,0,0,-0.00976,-0.00488,-0.01464
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.03904,0.01952,0.00976,-0.00488,-0.00488,-0.00488
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,0.03904,0.01952,0.00488,-0.00976,-0.00976,-0.01464
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.05856,0.00976,-0.00976,-0.01952,-0.01952,-0.01464
-0.03416,0.05368,-0.0732,-0.05612,-0.03904,0.00244,0.08296,0.02928,-0.02928,-0.03904,-0.03416,-0.04392
-0.03416,0.05368,-0.0732,-0.05612,-0.03904,0.00244,0.10736,0.08784,-0.07808,-0.10248,-0.09272,-0.09272
-0.03416,0.0976,-0.16104,-0.14396,-0.12688,0.04636,0.17568,0.19032,-0.10736,-0.16592,-0.16104,-0.16592
-0.04392,0.122,-0.20008,-0.17812,-0.15616,0.05612,0.20984,0.23424,-0.13176,-0.22936,-0.22936,-0.23912
-0.01464,0.10248,-0.19032,-0.183,-0.17568,0.08052,0.2196,0.28304,-0.15128,-0.23912,-0.24888,-0.24888
-0.00488,0.09516,-0.18544,-0.183,-0.18056,0.08784,0.24888,0.3416,-0.06832,-0.16592,-0.19032,-0.20008
0.04392,0.00976,-0.06344,-0.0854,-0.10736,0.07564,0.18056,0.32208,0.15616,0.03416,-0.04392,-0.06344
0.11712,-0.06344,0.00976,-0.0488,-0.10736,0.11224,0.122,0.3172,0.35624,0.244,0.14152,0.0976
0.1708,-0.1952,0.2196,0.1342,0.0488,0.061,-0.06832,0.1708,0.54168,0.5368,0.43432,0.366
0.24888,-0.36112,0.47336,0.34892,0.22448,0.0122,-0.2928,-0.05856,0.8296,0.91744,0.81496,0.72712
0.28792,-0.52216,0.7564,0.61244,0.46848,-0.09028,-0.53192,-0.28792,1.06872,1.26392,1.1712,1.05896
0.29768,-0.66856,1.03944,0.8906,0.74176,-0.22204,-0.732,-0.5612,1.42984,1.69824,1.58112,1.44936
0.22448,-0.75884,1.2932,1.18096,1.06872,-0.42212,-0.90768,-0.9028,1.6592,2.06424,1.98128,1.80072
0.05856,-0.72956,1.40056,1.37128,1.342,-0.64172,-0.976,-1.21024,1.47376,2.09352,2.07888,1.91296
-0.07808,-0.6466,1.37128,1.41032,1.44936,-0.76372,-0.93208,-1.28832,1.00528,1.83,1.96664,1.84952
-0.07808,-0.47824,1.03456,1.0736,1.11264,-0.59536,-0.80032,-1.13216,0.42456,1.24928,1.54696,1.54208
-0.05856,-0.31964,0.69784,0.72712,0.7564,-0.40748,-0.62464,-0.8784,-0.16592,0.5856,1.00528,1.12728
-0.04392,-0.19276,0.42944,0.4514,0.47336,-0.25864,-0.4392,-0.62952,-0.5856,0.04392,0.52216,0.732
-0.04392,-0.12444,0.2928,0.31476,0.33672,-0.19032,-0.33672,-0.51728,-0.67344,-0.18544,0.25376,0.488
-0.0488,-0.04636,0.14152,0.16592,0.19032,-0.11956,-0.21472,-0.35624,-0.5856,-0.244,0.08784,0.2928
-0.05368,-0.00244,0.05856,0.0854,0.11224,-0.08296,-0.122,-0.2196,-0.48312,-0.28792,-0.0732,0.06832
-0.05856,0.03416,-0.00976,0.01952,0.0488,-0.05368,-0.0488,-0.14152,-0.35136,-0.25376,-0.11712,-0.04392
-0.06832,0.06832,-0.06832,-0.03416,0,-0.03416,0.01464,-0.0488,-0.21472,-0.20984,-0.16104,-0.122
-0.06832,0.09028,-0.11224,-0.07808,-0.04392,-0.0122,0.05368,0.00976,-0.11224,-0.122,-0.10248,-0.08296
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,0.07808,0.01952,-0.08784,-0.09272,-0.0976,-0.0976
