i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.04392,0.09028,-0.13664,-0.11468,-0.09272,0.0244,0.05368,-0.03904,-0.00488,-0.01464,-0.03904,-0.03904
-0.03904,0.0854,-0.13176,-0.11224,-0.09272,0.02684,0.06344,-0.03416,0,-0.01952,-0.04392,-0.03904
-0.03904,0.0976,-0.15616,-0.13664,-0.11712,0.03904,0.0732,-0.0244,-0.00488,-0.02928,-0.04392,-0.03904
-0.03416,0.09272,-0.15128,-0.1342,-0.11712,0.04148,0.06344,-0.00976,0.00976,-0.01952,-0.04392,-0.03904
-0.00976,0.06588,-0.122,-0.11712,-0.11224,0.05124,0.05368,0,0.0244,0.00488,-0.01952,-0.0244
0.0244,0.02684,-0.07808,-0.09028,-0.10248,0.06344,0.01464,-0.01952,0.04392,0.02928,-0.00488,-0.00976
0.02928,0.01464,-0.05856,-0.0732,-0.08784,0.05856,-0.00976,-0.03904,0.05856,0.02928,0.00488,0.01464
0.00976,0.03416,-0.07808,-0.08296,-0.08784,0.0488,-0.01464,-0.05368,0.03904,0.01952,0.00976,0.00976
-0.01952,0.06344,-0.10736,-0.0976,-0.08784,0.03416,-0.00488,-0.06832,0.00976,-0.00488,-0.01464,0
-0.00976,0.05612,-0.10248,-0.0976,-0.09272,0.04148,0.00488,-0.0732,-0.00976,-0.00976,-0.0244,-0.00488
0,0.061,-0.122,-0.122,-0.122,0.061,0.00976,-0.07808,-0.0244,-0.02928,-0.03904,-0.01464
-0.00488,0.07076,-0.13664,-0.1342,-0.13176,0.06344,0.01464,-0.06832,-0.03904,-0.03416,-0.04392,-0.02928
-0.00488,0.0732,-0.14152,-0.13908,-0.13664,0.06588,0.01464,-0.06832,-0.05368,-0.0488,-0.05856,-0.03904
-0.0244,0.09028,-0.15616,-0.14396,-0.13176,0.05368,0.02928,-0.06832,-0.05368,-0.05856,-0.06832,-0.03904
-0.04392,0.11224,-0.18056,-0.1586,-0.13664,0.04636,0.04392,-0.06344,-0.05368,-0.06344,-0.07808,-0.05368
-0.0732,0.12688,-0.18056,-0.14396,-0.10736,0.01708,0.06832,-0.0488,-0.05368,-0.05368,-0.0732,-0.05856
-0.06832,0.12932,-0.19032,-0.15616,-0.122,0.02684,0.07808,-0.04392,-0.06344,-0.06832,-0.08296,-0.06832
-0.07808,0.14152,-0.20496,-0.16592,-0.12688,0.0244,0.08296,-0.05856,-0.0732,-0.0976,-0.11224,-0.09272
-0.08784,0.15128,-0.21472,-0.1708,-0.12688,0.01952,0.08296,-0.06344,-0.08296,-0.10248,-0.11712,-0.11224
-0.09272,0.16348,-0.23424,-0.18788,-0.14152,0.0244,0.0976,-0.05368,-0.0732,-0.09272,-0.10736,-0.10248
-0.09272,0.17324,-0.25376,-0.2074,-0.16104,0.03416,0.0976,-0.04392,-0.0732,-0.08296,-0.10736,-0.09272
-0.0976,0.1708,-0.244,-0.1952,-0.1464,0.0244,0.08784,-0.05368,-0.08296,-0.09272,-0.10736,-0.09272
-0.0976,0.1708,-0.244,-0.1952,-0.1464,0.0244,0.08784,-0.05368,-0.08296,-0.0976,-0.11224,-0.09272
-0.0976,0.16348,-0.22936,-0.18056,-0.13176,0.01708,0.08784,-0.06344,-0.09272,-0.0976,-0.11224,-0.0976
-0.0976,0.1586,-0.2196,-0.1708,-0.122,0.0122,0.08784,-0.06344,-0.0976,-0.0976,-0.11224,-0.0976
-0.0976,0.15128,-0.20496,-0.15616,-0.10736,0.00488,0.08784,-0.06344,-0.0976,-0.0976,-0.11224,-0.10736
-0.0976,0.14396,-0.19032,-0.14152,-0.09272,-0.00244,0.08784,-0.06832,-0.10248,-0.10248,-0.11712,-0.11224
-0.0976,0.15616,-0.21472,-0.16592,-0.11712,0.00976,0.07808,-0.06832,-0.09272,-0.10248,-0.11712,-0.10248
-0.10248,0.16348,-0.22448,-0.17324,-0.122,0.00976,0.06832,-0.06832,-0.09272,-0.10248,-0.11712,-0.10248
-0.08784,0.1464,-0.20496,-0.16104,-0.11712,0.01464,0.07808,-0.06832,-0.08784,-0.10736,-0.11224,-0.10248
-0.08784,0.14152,-0.1952,-0.15128,-0.10736,0.00976,0.0732,-0.0732,-0.08784,-0.10736,-0.11224,-0.10248
-0.0976,0.15128,-0.20496,-0.15616,-0.10736,0.00488,0.07808,-0.06344,-0.0976,-0.11712,-0.122,-0.11224
-0.0976,0.15128,-0.20496,-0.15616,-0.10736,0.00488,0.07808,-0.06344,-0.0976,-0.122,-0.122,-0.11712
