i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.20984,-0.04148,-0.12688,-0.2318,-0.33672,0.27328,-0.36112,-0.35136,-0.37088,-0.03904,0.1952,0.1708
0.14152,0.01952,-0.18056,-0.25132,-0.32208,0.2318,-0.29768,-0.30744,-0.38552,-0.1464,0.06344,0.06344
0.09272,0.06832,-0.22936,-0.27572,-0.32208,0.2074,-0.18056,-0.18056,-0.37576,-0.20984,-0.06344,-0.05368
0.02928,0.10004,-0.22936,-0.244,-0.25864,0.14396,-0.06832,-0.0976,-0.33672,-0.23424,-0.12688,-0.11712
0,0.10004,-0.20008,-0.20008,-0.20008,0.10004,-0.01464,-0.01464,-0.23912,-0.19032,-0.11712,-0.11712
-0.00488,0.0732,-0.14152,-0.13908,-0.13664,0.06588,-0.00976,0,-0.18056,-0.1464,-0.09272,-0.11712
0.00488,0.04148,-0.08784,-0.09028,-0.09272,0.0488,-0.00976,0.00488,-0.15616,-0.122,-0.0732,-0.10736
0.00488,0.02196,-0.0488,-0.05124,-0.05368,0.02928,-0.00488,0.00488,-0.14152,-0.10248,-0.05856,-0.09272
-0.00976,0.0244,-0.03904,-0.03416,-0.02928,0.00976,0.00976,0.02928,-0.11224,-0.08784,-0.05368,-0.08784
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,0.01952,0.04392,-0.0976,-0.08296,-0.05368,-0.08784
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.01952,0.0244,-0.0976,-0.08296,-0.05368,-0.08784
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.01952,0.02928,-0.11224,-0.08784,-0.05368,-0.08784
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.01952,0.03416,-0.11712,-0.09272,-0.05368,-0.08784
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.0244,0.03416,-0.11224,-0.09272,-0.05368,-0.08784
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.0244,0.02928,-0.11224,-0.09272,-0.05368,-0.09272
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.0244,0.01464,-0.10736,-0.08784,-0.0488,-0.09272
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,0.0244,0.01464,-0.10248,-0.08296,-0.04392,-0.09272
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,0.0244,0.01464,-0.10248,-0.08296,-0.0488,-0.09272
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,0.0244,0.00976,-0.10248,-0.07808,-0.0488,-0.09272
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.01952,0.01464,-0.10248,-0.08296,-0.05368,-0.0976
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.01952,0.01464,-0.10736,-0.08784,-0.05368,-0.0976
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.01952,0.01464,-0.11224,-0.08784,-0.05368,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.01464,0.00976,-0.11224,-0.08784,-0.05368,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.01464,0.00976,-0.11224,-0.09272,-0.05368,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.01464,0.00976,-0.11224,-0.09272,-0.05368,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.01464,0.00976,-0.11224,-0.09272,-0.05368,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.01464,0.01464,-0.11224,-0.08784,-0.05368,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.00976,0.00976,-0.11224,-0.08784,-0.05856,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.00976,0.00488,-0.11224,-0.08784,-0.06344,-0.0976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.00488,0.00976,-0.11712,-0.08784,-0.06344,-0.09272
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0,0.00976,-0.11712,-0.08296,-0.06344,-0.08784
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.00488,0.00976,-0.11224,-0.08784,-0.06344,-0.08784
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.00488,0.00976,-0.11224,-0.09272,-0.06344,-0.08784
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.00976,0.00976,-0.11224,-0.0976,-0.06344,-0.08784
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.01464,0.00488,-0.11224,-0.0976,-0.06344,-0.08784
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,-0.01464,0.00488,-0.11224,-0.0976,-0.06832,-0.08784
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,-0.01952,0,-0.11712,-0.0976,-0.0732,-0.08784
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,-0.0244,0.00488,-0.11712,-0.0976,-0.0732,-0.09272
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,-0.0244,0.00488,-0.11712,-0.0976,-0.07808,-0.0976
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,-0.0244,0,-0.11712,-0.0976,-0.07808,-0.0976
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.0244,0,-0.11712,-0.0976,-0.08296,-0.0976
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.0244,0,-0.122,-0.0976,-0.08296,-0.0976
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.0244,-0.00488,-0.122,-0.0976,-0.08296,-0.0976
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.0244,-0.00488,-0.122,-0.0976,-0.08296,-0.09272
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.0244,0,-0.122,-0.0976,-0.08296,-0.09272
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,-0.02928,0,-0.122,-0.0976,-0.07808,-0.09272
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,-0.02928,0,-0.12688,-0.0976,-0.0732,-0.09272
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,-0.02928,0,-0.12688,-0.09272,-0.06832,-0.08784
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.02928,0,-0.122,-0.09272,-0.06344,-0.07808
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.02928,0,-0.122,-0.09272,-0.06344,-0.07808
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,-0.03416,0,-0.122,-0.09272,-0.05368,-0.0732
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,-0.03904,0.00488,-0.122,-0.08296,-0.05368,-0.0732
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,-0.04392,0.00976,-0.122,-0.07808,-0.0488,-0.06832
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,-0.03904,0.01464,-0.11712,-0.06832,-0.03904,-0.06832
0,0,0,0,0,0,-0.04392,0.01464,-0.11224,-0.06832,-0.03416,-0.06344
0,0,0,0,0,0,-0.0488,0.00976,-0.11712,-0.06344,-0.03416,-0.06344
0.00488,-0.00732,0.00976,0.00732,0.00488,0,-0.05368,0.00976,-0.11712,-0.05856,-0.02928,-0.06344
0.01464,-0.0122,0.00976,0.00244,-0.00488,0.00976,-0.06344,0.00976,-0.11712,-0.05856,-0.01952,-0.05856
0.01952,-0.01464,0.00976,0,-0.00976,0.01464,-0.06832,0.00488,-0.11712,-0.05856,-0.00976,-0.0488
0.0244,-0.01952,0.01464,0.00244,-0.00976,0.01708,-0.07808,0.00976,-0.11224,-0.05368,-0.00488,-0.04392
0.0244,-0.0244,0.0244,0.0122,0,0.0122,-0.08784,0.00976,-0.11224,-0.04392,-0.00488,-0.04392
0.03416,-0.03172,0.02928,0.0122,-0.00488,0.01952,-0.09272,0.00976,-0.11224,-0.04392,-0.00488,-0.04392
0.03904,-0.0366,0.03416,0.01464,-0.00488,0.02196,-0.10248,0.01464,-0.10736,-0.04392,0,-0.03904
0.04392,-0.03904,0.03416,0.0122,-0.00976,0.02684,-0.11224,0.01464,-0.10248,-0.03904,0.00488,-0.03904
0.05368,-0.0488,0.04392,0.01708,-0.00976,0.03172,-0.122,0.01464,-0.10248,-0.02928,0.00488,-0.03416
0.0488,-0.04636,0.04392,0.01952,-0.00488,0.02684,-0.13176,0.01464,-0.0976,-0.02928,0.00488,-0.02928
0.0488,-0.0488,0.0488,0.0244,0,0.0244,-0.13664,0.01464,-0.08784,-0.02928,0.00488,-0.02928
0.05368,-0.05368,0.05368,0.02684,0,0.02684,-0.14152,0.01952,-0.08296,-0.01464,0.00976,-0.0244
0.05856,-0.05612,0.05368,0.0244,-0.00488,0.03172,-0.14152,0.02928,-0.07808,-0.00976,0.01464,-0.01952
0.06344,-0.061,0.05856,0.02684,-0.00488,0.03416,-0.14152,0.03904,-0.06832,0.00488,0.01952,-0.01952
0.0732,-0.06832,0.06344,0.02684,-0.00976,0.04148,-0.14152,0.04392,-0.06344,0.00976,0.01952,-0.0244
0.0732,-0.06832,0.06344,0.02684,-0.00976,0.04148,-0.13664,0.0488,-0.05368,0.01464,0.01952,-0.0244
0.0732,-0.06832,0.06344,0.02684,-0.00976,0.04148,-0.12688,0.05856,-0.0488,0.01952,0.01952,-0.0244
0.0732,-0.06588,0.05856,0.02196,-0.01464,0.04392,-0.11224,0.06832,-0.0488,0.01952,0.01464,-0.02928
0.06832,-0.061,0.05368,0.01952,-0.01464,0.04148,-0.0976,0.0732,-0.0488,0.01464,0.00976,-0.03416
0.05856,-0.05124,0.04392,0.01464,-0.01464,0.0366,-0.08296,0.07808,-0.0488,0.00488,0.00488,-0.03904
0.05368,-0.0488,0.04392,0.01708,-0.00976,0.03172,-0.0732,0.08296,-0.0488,-0.00976,-0.00488,-0.04392
0.04392,-0.04148,0.03904,0.01708,-0.00488,0.0244,-0.06344,0.07808,-0.0488,-0.01464,-0.00976,-0.0488
0.03904,-0.03904,0.03904,0.01952,0,0.01952,-0.05368,0.07808,-0.0488,-0.01952,-0.01952,-0.05368
0.0244,-0.03172,0.03904,0.02684,0.01464,0.00488,-0.04392,0.0732,-0.0488,-0.0244,-0.0244,-0.05856
0.0244,-0.02928,0.03416,0.02196,0.00976,0.00732,-0.03904,0.06344,-0.05856,-0.03416,-0.0244,-0.06832
0.01952,-0.02196,0.0244,0.01464,0.00488,0.00732,-0.0244,0.05368,-0.05856,-0.03904,-0.03416,-0.06832
0.01464,-0.01952,0.0244,0.01708,0.00976,0.00244,-0.0244,0.0488,-0.06344,-0.04392,-0.03904,-0.0732
0.00976,-0.0122,0.01464,0.00976,0.00488,0.00244,-0.01464,0.0488,-0.06832,-0.03904,-0.03904,-0.0732
0,-0.00488,0.00976,0.00976,0.00976,-0.00488,-0.01464,0.0488,-0.0732,-0.03904,-0.0488,-0.07808
0,-0.00488,0.00976,0.00976,0.00976,-0.00488,-0.00976,0.03904,-0.08296,-0.0488,-0.0488,-0.07808
0,0,0,0,0,0,-0.00976,0.03904,-0.08784,-0.05368,-0.0488,-0.08296
-0.00488,0,0.00488,0.00732,0.00976,-0.00732,-0.00976,0.03416,-0.08784,-0.05368,-0.0488,-0.08296
-0.00976,0.00244,0.00488,0.00976,0.01464,-0.0122,-0.00976,0.03416,-0.08784,-0.05856,-0.05368,-0.08296
-0.00976,0.00244,0.00488,0.00976,0.01464,-0.0122,-0.01464,0.02928,-0.09272,-0.06344,-0.05856,-0.08296
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.01952,0.02928,-0.10248,-0.06832,-0.05856,-0.08296
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.01952,0.03416,-0.10248,-0.06832,-0.05856,-0.08784
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.01952,0.02928,-0.10736,-0.06832,-0.06344,-0.08784
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.01952,0.02928,-0.10736,-0.06832,-0.05856,-0.08296
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,-0.01952,0.02928,-0.11224,-0.06832,-0.0488,-0.07808
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,-0.01952,0.0244,-0.11224,-0.0732,-0.0488,-0.07808
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,-0.01952,0.0244,-0.11224,-0.0732,-0.0488,-0.07808
