i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.27328,-0.18788,0.10248,-0.03416,-0.1708,0.22204,-0.122,0.01952,-0.00488,0.13176,0.12688,0.20008
0.27328,-0.1952,0.11712,-0.01952,-0.15616,0.21472,-0.122,0.02928,-0.00488,0.1464,0.15128,0.21472
0.244,-0.16104,0.07808,-0.04392,-0.16592,0.20496,-0.14152,0.00976,0.00488,0.11712,0.12688,0.20008
0.24888,-0.1586,0.06832,-0.05612,-0.18056,0.21472,-0.15128,-0.00488,0,0.10736,0.12688,0.20496
0.24888,-0.16104,0.0732,-0.05124,-0.17568,0.21228,-0.13176,-0.01464,0.00976,0.11224,0.10736,0.19032
0.24888,-0.16348,0.07808,-0.04636,-0.1708,0.20984,-0.122,-0.00976,0.01464,0.10736,0.0976,0.17568
0.20008,-0.12444,0.0488,-0.05124,-0.15128,0.17568,-0.10248,0.01464,0.00976,0.0976,0.08784,0.16592
0.16104,-0.10004,0.03904,-0.04148,-0.122,0.14152,-0.09272,0.02928,0.00976,0.0976,0.08784,0.16592
0.08784,-0.04392,0,-0.04392,-0.08784,0.08784,-0.0732,0.0244,0.01464,0.10248,0.06344,0.14152
0.02928,-0.00244,-0.0244,-0.03904,-0.05368,0.04148,-0.05856,0.02928,0.01952,0.0732,0.05368,0.12688
0.09272,-0.06344,0.03416,-0.0122,-0.05856,0.07564,-0.03904,0.04392,0.02928,0.08784,0.05856,0.12688
0.16104,-0.1342,0.10736,0.02684,-0.05368,0.10736,-0.0244,0.07808,0.05856,0.0976,0.06344,0.11712
0.11712,-0.09272,0.06832,0.00976,-0.0488,0.08296,0.00488,0.07808,0.0732,0.10736,0.06832,0.11712
0.0976,-0.07564,0.05368,0.00488,-0.04392,0.07076,0.0244,0.10736,0.0732,0.10736,0.05368,0.10248
0.02928,-0.01708,0.00488,-0.00976,-0.0244,0.02684,0.02928,0.10248,0.06344,0.08784,0.03416,0.07808
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,0.03416,0.09272,0.05368,0.0732,0.01952,0.05856
-0.03416,0.0366,-0.03904,-0.02196,-0.00488,-0.01464,0.03904,0.09272,0.06344,0.07808,0.02928,0.05856
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,0.03904,0.10736,0.0732,0.08296,0.00976,0.06344
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,0.0488,0.11224,0.06344,0.07808,0.00976,0.06832
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,0.05856,0.11712,0.05856,0.0732,0.00976,0.06832
0.01464,-0.00244,-0.00976,-0.01708,-0.0244,0.01952,0.05856,0.11712,0.06344,0.07808,0.01464,0.05856
0.05368,-0.0366,0.01952,-0.00732,-0.03416,0.04392,0.05856,0.11712,0.06832,0.07808,0.01952,0.06832
0.00976,0.00488,-0.01952,-0.0244,-0.02928,0.01952,0.05856,0.11224,0.06344,0.08784,0.0244,0.06344
