i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.21472,-0.13908,0.06344,-0.04392,-0.15128,0.183,0.06832,0.40992,0.47824,0.32696,0.24888,0.14152
0.18544,-0.11468,0.04392,-0.0488,-0.14152,0.16348,0.05856,0.36112,0.42944,0.29768,0.23912,0.13664
0.16104,-0.09272,0.0244,-0.05612,-0.13664,0.14884,0.05368,0.3172,0.38064,0.2684,0.22448,0.13176
0.1464,-0.08052,0.01464,-0.05856,-0.13176,0.13908,0.04392,0.2684,0.33184,0.23912,0.20008,0.11712
0.11712,-0.05856,0,-0.05856,-0.11712,0.11712,0.03904,0.23424,0.27816,0.20984,0.17568,0.10736
0.0976,-0.04392,-0.00976,-0.05856,-0.10736,0.10248,0.03416,0.19032,0.23912,0.18056,0.16104,0.09272
0.0732,-0.02684,-0.01952,-0.05612,-0.09272,0.08296,0.03416,0.15616,0.20496,0.16104,0.14152,0.07808
0.05368,-0.0122,-0.02928,-0.05612,-0.08296,0.06832,0.0244,0.12688,0.15128,0.13176,0.122,0.0732
0.03416,0.00488,-0.04392,-0.061,-0.07808,0.05612,0.0244,0.0976,0.11224,0.10736,0.10248,0.06344
0.0244,0.0122,-0.0488,-0.061,-0.0732,0.0488,0.01464,0.06344,0.08784,0.08784,0.09272,0.05368
0.00976,0.01708,-0.04392,-0.0488,-0.05368,0.03172,0.00976,0.03904,0.06344,0.0732,0.07808,0.03904
0,0.0244,-0.0488,-0.0488,-0.0488,0.0244,0.00976,0.0244,0.03904,0.0488,0.05856,0.03416
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,0.00488,0.00976,0.01464,0.02928,0.04392,0.02928
-0.01464,0.04148,-0.06832,-0.061,-0.05368,0.01952,0.00488,-0.00488,-0.00488,0.00976,0.03904,0.0244
-0.0244,0.05368,-0.08296,-0.07076,-0.05856,0.01708,0.00488,-0.01952,-0.01952,0.00488,0.03416,0.01952
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.00488,-0.02928,-0.0244,-0.00488,0.0244,0.00976
-0.03416,0.06344,-0.09272,-0.07564,-0.05856,0.0122,0.00488,-0.03416,-0.03416,-0.01464,0.01464,0.00488
-0.03904,0.06588,-0.09272,-0.0732,-0.05368,0.00732,0.00488,-0.03904,-0.04392,-0.01952,0.00976,0.00488
-0.03904,0.06588,-0.09272,-0.0732,-0.05368,0.00732,0.00488,-0.03904,-0.04392,-0.02928,0.00976,0.00488
-0.03904,0.06832,-0.0976,-0.07808,-0.05856,0.00976,0.00488,-0.03904,-0.0488,-0.02928,0.00976,0
-0.04392,0.07076,-0.0976,-0.07564,-0.05368,0.00488,0.00488,-0.04392,-0.05856,-0.03416,0.00488,-0.00488
-0.0488,0.0732,-0.0976,-0.0732,-0.0488,0,0.00488,-0.04392,-0.05856,-0.03416,0.00488,-0.00488
-0.05368,0.07808,-0.10248,-0.07564,-0.0488,-0.00244,0.00488,-0.0488,-0.06344,-0.03904,0,-0.00488
-0.05368,0.08052,-0.10736,-0.08052,-0.05368,0,0.00488,-0.0488,-0.06344,-0.03904,0,-0.00488
