i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.13176,0.14396,-0.15616,-0.09028,-0.0244,-0.05368,-0.09272,-0.0976,-0.09272,-0.06832,-0.07808,0.71248
-0.13176,0.13908,-0.1464,-0.08052,-0.01464,-0.05856,-0.08784,-0.09272,-0.08784,-0.06344,-0.06832,0.71736
-0.14152,0.14152,-0.14152,-0.07076,0,-0.07076,-0.08296,-0.08784,-0.08296,-0.05856,-0.06344,0.70272
-0.16104,0.1586,-0.15616,-0.07564,0.00488,-0.08296,-0.06344,-0.07808,-0.0732,-0.05368,-0.06344,0.69296
-0.18056,0.17812,-0.17568,-0.0854,0.00488,-0.09272,-0.0488,-0.06832,-0.06832,-0.0488,-0.06344,0.68808
-0.19032,0.18788,-0.18544,-0.09028,0.00488,-0.0976,-0.03904,-0.05856,-0.06832,-0.0488,-0.06344,0.6832
-0.19032,0.19032,-0.19032,-0.09516,0,-0.09516,-0.03416,-0.05856,-0.06832,-0.05856,-0.07808,0.66856
-0.19032,0.18788,-0.18544,-0.09028,0.00488,-0.0976,-0.03416,-0.05856,-0.07808,-0.05368,-0.0732,0.65392
-0.19032,0.19032,-0.19032,-0.09516,0,-0.09516,-0.03416,-0.05856,-0.07808,-0.05368,-0.0732,0.6344
-0.19032,0.18544,-0.18056,-0.0854,0.00976,-0.10004,-0.0244,-0.05368,-0.0732,-0.05368,-0.0732,0.6344
-0.18544,0.17812,-0.1708,-0.07808,0.01464,-0.10004,-0.01952,-0.04392,-0.06832,-0.0488,-0.06832,0.62952
-0.18544,0.17812,-0.1708,-0.07808,0.01464,-0.10004,-0.01952,-0.04392,-0.06344,-0.05368,-0.06832,0.62952
-0.18056,0.17568,-0.1708,-0.08052,0.00976,-0.09516,-0.02928,-0.04392,-0.06344,-0.05856,-0.06832,0.62952
-0.18056,0.17568,-0.1708,-0.08052,0.00976,-0.09516,-0.02928,-0.0488,-0.06344,-0.05368,-0.0732,0.62952
-0.18544,0.18056,-0.17568,-0.08296,0.00976,-0.0976,-0.0244,-0.05368,-0.06344,-0.05368,-0.07808,0.62952
-0.18544,0.18056,-0.17568,-0.08296,0.00976,-0.0976,-0.0244,-0.0488,-0.05856,-0.05368,-0.07808,0.62952
-0.19032,0.183,-0.17568,-0.08052,0.01464,-0.10248,-0.0244,-0.0488,-0.05856,-0.0488,-0.0732,0.62952
-0.1952,0.18544,-0.17568,-0.07808,0.01952,-0.10736,0.00488,-0.0244,-0.03416,-0.03904,-0.0732,0.62464
-0.2196,0.20252,-0.18544,-0.07564,0.03416,-0.12688,0.06832,0.05368,0.02928,-0.0244,-0.0732,0.61488
-0.22448,0.21472,-0.20496,-0.09272,0.01952,-0.122,0.15616,0.17568,0.11712,0,-0.06344,0.61
-0.23912,0.22448,-0.20984,-0.09028,0.02928,-0.1342,0.23424,0.2684,0.20496,0.0488,-0.03904,0.61488
-0.22936,0.18788,-0.1464,-0.03172,0.08296,-0.15616,0.2684,0.28792,0.27328,0.11224,0.01952,0.6344
-0.15616,0.08784,-0.01952,0.05856,0.13664,-0.1464,0.23424,0.27816,0.3172,0.20984,0.14152,0.72224
0.03904,-0.1098,0.18056,0.16104,0.14152,-0.05124,0.08296,0.18544,0.27328,0.27328,0.29768,0.86864
0.40992,-0.43188,0.45384,0.24888,0.04392,0.183,-0.22448,-0.04392,0.1464,0.3172,0.50264,1.08336
0.73688,-0.69296,0.64904,0.2806,-0.08784,0.41236,-0.54168,-0.33672,-0.05856,0.2928,0.6588,1.2688
0.99552,-0.8784,0.76128,0.26352,-0.23424,0.61488,-0.76128,-0.55144,-0.21472,0.244,0.75152,1.38104
1.09312,-0.9516,0.81008,0.26352,-0.28304,0.68808,-0.94184,-0.79056,-0.43432,0.16104,0.70272,1.38592
0.854,-0.671,0.488,0.061,-0.366,0.61,-0.79056,-0.88816,-0.49776,-0.01464,0.41968,1.07848
0.43432,-0.31232,0.19032,-0.02684,-0.244,0.33916,-0.68808,-1.02968,-0.69784,-0.1708,0.09272,0.84424
0.1708,-0.08296,-0.00488,-0.09028,-0.17568,0.17324,-0.6344,-0.99552,-0.9028,-0.31232,-0.16104,0.66856
0.01464,-0.00976,0.00488,-0.00244,-0.00976,0.0122,-0.5612,-0.84424,-0.8296,-0.27816,-0.17568,0.67832
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,-0.49776,-0.66856,-0.62464,-0.21472,-0.15128,0.67832
-0.10736,0.07808,-0.0488,0.00488,0.05856,-0.08296,-0.40504,-0.50752,-0.44408,-0.17568,-0.13664,0.64904
-0.11712,0.10248,-0.08784,-0.02928,0.02928,-0.0732,-0.25376,-0.3172,-0.25864,-0.122,-0.10248,0.64904
-0.11712,0.10736,-0.0976,-0.03904,0.01952,-0.06832,-0.10736,-0.18056,-0.13664,-0.06832,-0.06832,0.6588
-0.11224,0.09516,-0.07808,-0.02196,0.03416,-0.0732,-0.0488,-0.0976,-0.07808,-0.03416,-0.03904,0.66368
-0.11224,0.09516,-0.07808,-0.02196,0.03416,-0.0732,-0.01464,-0.04392,-0.03904,-0.01952,-0.02928,0.66368
-0.122,0.10492,-0.08784,-0.02684,0.03416,-0.07808,-0.00488,-0.02928,-0.01952,-0.01464,-0.02928,0.64416
-0.1464,0.12444,-0.10248,-0.02928,0.04392,-0.09516,0.00976,-0.01464,-0.00976,-0.00976,-0.02928,0.6344
-0.15128,0.12688,-0.10248,-0.02684,0.0488,-0.10004,0.01464,-0.01464,-0.00976,-0.00976,-0.03416,0.62464
-0.13664,0.11956,-0.10248,-0.03416,0.03416,-0.0854,0.01464,-0.00976,-0.00488,-0.01464,-0.03416,0.61488
-0.11712,0.10736,-0.0976,-0.03904,0.01952,-0.06832,0.01464,-0.00488,0.00488,-0.01464,-0.02928,0.61488
-0.12688,0.1098,-0.09272,-0.02928,0.03416,-0.08052,0.0244,0.00488,0.01464,-0.00976,-0.0244,0.60512
-0.14152,0.11712,-0.09272,-0.02196,0.0488,-0.09516,0.02928,0.01464,0.01952,-0.00488,-0.0244,0.59048
-0.14152,0.11712,-0.09272,-0.02196,0.0488,-0.09516,0.02928,0.01464,0.01952,-0.00488,-0.0244,0.56608
-0.14152,0.11224,-0.08296,-0.0122,0.05856,-0.10004,0.02928,0.01464,0.01952,-0.00488,-0.0244,0.54168
-0.13176,0.10492,-0.07808,-0.0122,0.05368,-0.09272,0.03416,0.01952,0.0244,-0.00488,-0.01952,0.5368
-0.12688,0.10248,-0.07808,-0.01464,0.0488,-0.08784,0.03904,0.01952,0.0244,0,-0.01952,0.52704
-0.12688,0.10248,-0.07808,-0.01464,0.0488,-0.08784,0.04392,0.01952,0.0244,0,-0.01952,0.5124
-0.122,0.10736,-0.09272,-0.03172,0.02928,-0.07564,0.04392,0.01952,0.0244,-0.00488,-0.01952,0.49776
-0.122,0.10736,-0.09272,-0.03172,0.02928,-0.07564,0.03416,0.0244,0.02928,-0.00488,-0.01952,0.49288
-0.12688,0.10736,-0.08784,-0.0244,0.03904,-0.08296,0.02928,0.0244,0.03416,-0.00488,-0.01952,0.48312
-0.122,0.0976,-0.0732,-0.0122,0.0488,-0.0854,0.02928,0.02928,0.03904,0,-0.01952,0.49288
-0.11224,0.08784,-0.06344,-0.00732,0.0488,-0.08052,0.03416,0.03904,0.03904,0.00976,-0.01952,0.49288
-0.10736,0.08296,-0.05856,-0.00488,0.0488,-0.07808,0.03904,0.04392,0.04392,0.00976,-0.01952,0.47824
-0.10736,0.08296,-0.05856,-0.00488,0.0488,-0.07808,0.04392,0.04392,0.04392,0.00976,-0.01952,0.47336
-0.10736,0.0854,-0.06344,-0.00976,0.04392,-0.07564,0.04392,0.04392,0.0488,0.00976,-0.01464,0.47336
