i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0732,0.14396,-0.21472,-0.17812,-0.14152,0.03416,0.09272,0.00976,-0.11712,-0.15128,-0.1464,-0.11224
-0.14152,0.24156,-0.3416,-0.27084,-0.20008,0.02928,0.24888,0.11712,-0.12688,-0.22936,-0.2684,-0.23424
-0.18544,0.29524,-0.40504,-0.31232,-0.2196,0.01708,0.35624,0.2196,-0.09272,-0.25376,-0.33184,-0.31232
-0.1952,0.29036,-0.38552,-0.28792,-0.19032,-0.00244,0.366,0.27816,-0.00488,-0.1952,-0.30744,-0.32208
-0.16592,0.24888,-0.33184,-0.24888,-0.16592,0,0.33672,0.29768,0.10248,-0.09272,-0.23424,-0.28304
-0.07808,0.16348,-0.24888,-0.20984,-0.1708,0.04636,0.24888,0.3172,0.18544,0.0244,-0.10248,-0.17568
0.04392,-0.01464,-0.01464,-0.0366,-0.05856,0.05124,0.05856,0.22448,0.29768,0.23424,0.13176,0.01464
0.17568,-0.25864,0.3416,0.25376,0.16592,0.00488,-0.17568,0.0488,0.4392,0.54656,0.46848,0.28792
0.34648,-0.5124,0.67832,0.50508,0.33184,0.00732,-0.4392,-0.16592,0.5612,0.90768,0.88328,0.63928
0.55632,-0.76372,0.97112,0.69296,0.4148,0.07076,-0.732,-0.37576,0.61488,1.24928,1.35664,1.08336
0.64904,-0.91012,1.1712,0.84668,0.52216,0.06344,-0.93208,-0.6832,0.39528,1.2932,1.54696,1.2932
0.61,-0.93208,1.25416,0.94916,0.64416,-0.01708,-1.10288,-1.22976,-0.35624,0.8052,1.27856,1.22
0.52216,-0.90768,1.2932,1.03212,0.77104,-0.12444,-1.20536,-1.62016,-0.9028,0.3416,0.94184,1.0492
0.40992,-0.84668,1.28344,1.07848,0.87352,-0.2318,-1.23464,-1.84464,-1.27368,-0.11224,0.55632,0.81984
0.25864,-0.5368,0.81496,0.68564,0.55632,-0.14884,-0.98088,-1.6836,-1.30784,-0.37088,0.22448,0.58072
0.06344,-0.19764,0.33184,0.30012,0.2684,-0.10248,-0.66856,-1.48352,-1.50304,-0.8784,-0.33672,0.22448
-0.0488,0.00244,0.04392,0.06832,0.09272,-0.07076,-0.40504,-1.17608,-1.35176,-0.9272,-0.48312,0.03904
-0.15128,0.16836,-0.18544,-0.1098,-0.03416,-0.05856,-0.18544,-0.85888,-1.05408,-0.78568,-0.49776,-0.13664
-0.18056,0.22448,-0.2684,-0.17812,-0.08784,-0.04636,-0.10248,-0.64416,-0.81496,-0.64904,-0.46848,-0.1952
-0.15616,0.21472,-0.27328,-0.1952,-0.11712,-0.01952,-0.08784,-0.48312,-0.62464,-0.50264,-0.3904,-0.1952
-0.14152,0.19032,-0.23912,-0.16836,-0.0976,-0.02196,-0.05856,-0.3416,-0.4636,-0.38552,-0.31232,-0.17568
-0.12688,0.16836,-0.20984,-0.1464,-0.08296,-0.02196,-0.0244,-0.25864,-0.37088,-0.31232,-0.25864,-0.16104
-0.10248,0.14152,-0.18056,-0.12932,-0.07808,-0.0122,-0.00976,-0.1952,-0.27328,-0.24888,-0.2196,-0.13176
-0.07808,0.11712,-0.15616,-0.11712,-0.07808,0,0.00976,-0.11224,-0.18056,-0.16592,-0.1708,-0.10736
-0.06832,0.11224,-0.15616,-0.122,-0.08784,0.00976,0.04392,-0.0488,-0.13176,-0.12688,-0.1464,-0.10248
-0.06344,0.1098,-0.15616,-0.12444,-0.09272,0.01464,0.06832,-0.01952,-0.11712,-0.11224,-0.122,-0.0976
-0.06344,0.1098,-0.15616,-0.12444,-0.09272,0.01464,0.0732,-0.00976,-0.0976,-0.10248,-0.11224,-0.09272
-0.06344,0.1098,-0.15616,-0.12444,-0.09272,0.01464,0.0732,-0.00488,-0.07808,-0.09272,-0.11224,-0.09272
